organization,bpci_id
putnam hospital center,1001-0000
cedars-sinai medical center,1045-0000
"cha hollywood medical center, l.p.",1048-0000
"cogent healthcare of georgia, p.c.",1062-0000
"cogent healthcare of iowa, p.c.",1063-000
"cogent healthcare of jacksonville, llc",1064-0000
"cogent healthcare of montana,  p.c.",1065-0000
dayton osteopathic hospital,1075-0000
dch regional medical center,1076-0000
dch regional medical center,1076-0000
"firsthealth of the carolinas, inc. dba firsthealth moore regional hospital",1087-000
geisinger holy spirit,1103-0000
geisinger lewistown hospital,1104-0000
geisinger wyoming valley medical center,1106-0000
"gundersen lutheran medical center, inc.",1120-0000
hartford hospital,1125-0000
huntrerdon medical center,p4316
indiana regional medical center,1167-0000
"inpatient services, p.c.",1189-0000
"integrated care solutions, llc",1191
joint replacement cin of los angeles llc,1198-0001
"joint replacement cin of oregon, llc",1202-0001
joint replacement cin of phoenix llc,1204-0001
joint replacement cin of san diego llc,1205-0001
"optimal health of mo, llc",1207-0001
medical university hospital authority,1209-0000
neurosurgical associates of northwest ohio llc,1269-0000
northern dutchess hospital,1286-0000
northern michigan health network,1288-0001
javon bea hospital,1351-0000
santa rosa memorial hospital,1373-0000
prisma health,1374-0001
"signature medical group, inc.",1393-0001
"signature medical group, inc.",1398-0001
"signature medical group, inc.",1406-0001
"signature medical group, inc.",1417-0001
"signature medical group, inc.",1420-0001
"signature medical group, inc.",1427-0001
"signature medical group, inc.",1431-0001
"signature medical group, inc.",1433-0001
"signature medical group, inc.",1437-0001
"signature medical group, inc.",1439-0001
"signature medical group, inc.",1445-0001
"signature medical group, inc.",1462-0001
"signature medical group, inc.",1472-0001
"signature medical group, inc.",1494-0001
"signature medical group, inc.",1500-0001
"signature medical group, inc.",1504-0001
"signature medical group, inc.",1509-0001
"signature medical group, inc.",1524-0001
"signature medical group, inc.",1526-0001
"signature medical group, inc.",1565-0001
"signature medical group, inc.",1573-0001
"signature medical group, inc.",1576-0001
"signature medical group, inc.",1581-0001
"signature medical group, inc.",1584-0001
"signature medical group, inc.",1590-0001
"signature medical group, inc.",1600-0001
"thedacare aco, llc",1636-0001
"triarq health alliance of florida, llc",1651-0001
"triarq health alliance of michigan, llc",1652-0001
"tucson orthopaedic institute, pc",1669-0000
cardiac cin of jacksonville llc,1738-0001
catholic medical center,1749
confluence health,1751-0001
decatur hospital authority,1754-0001
"illinois bone and joint institute, llc",1758-0001
joint replacement cin of hudson valley llc,1763-0000
"joint replacement cin of jackson, llc",1764-0001
penn state health,1789-0001
stryker,1817-0001
stryker,1820-0001
stryker,1823-0001
stryker,1856-0001
stryker,1859-0001
stryker,1870-0001
"the board of trustees of the university of alabama, on behalf of its operating unit, university of alabama hospital",1881-0000
vassar brothers medical center,1889-0000
cardiac cin of san diego llc,1966-0001
jackson-madison county general hospital district,2041-0000
"john fitzgibbon memorial hospital, inc",2043-0000
kettering medical center,2048-0000
kettering medical center sycamore,2049-0000
lawrence general hospital,2064-0000
mayo clinic,2174-0001
oregon health and science university,2272-0000
"orthovirginia care management, llc.",2288-0001
overlake hospital medical center,2291-0000
"prime healthcare services, inc",2312-0001
spine cin of los angeles llc,2343-0001
"select health of al, llc",2348-0001
spine cin of phoenix llc,2353-0000
spine cin of san diego llc,2354-0001
"select health of sc, llc",2355-0001
"spine cin of st. louis, llc",2356-0001
"st. bernards hospital, inc.",2364-0000
stryker,2408-0001
stryker,2416-0001
stryker,2426-0001
stryker,2431-0001
stryker,2440-0001
stryker,2443-0001
stryker,2450-0001
