BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
4995-0001,0.0,4995-0001,,,
4995-0001,0.1,Allina Health System d.b.a. Allina Health,,,
4995-0001,1.0,Yes,1.0,4.0,4.0
4995-0001,2.0,Yes,1.0,4.0,4.0
4995-0001,3.0,No,1.0,3.0,3.0
4995-0001,4.0,---,,,
4995-0001,5.0,No,1.0,5.0,5.0
4995-0001,6.0,Unsure,2.0,6.0,12.0
4995-0001,7.0,Unsure,2.0,4.0,8.0
4995-0001,8.0,,,,
4995-0001,9.0,"A multi-disciplinary team comprised of Registered Nurses, Social Workers, Pharmacists, and non-clinical Care Guides, in collaboration with physicians and hospital staff, was deployed to targeted patients.  This team worked with patients to identify needs prior to hospitalization, when possible, and preparing the patient for discharge.  This includes tasks such as medication reconciliation, identification of social determinants/challenges, arranging for post-acute care, and working with caregivers to ensure the care plan can be followed.",,,
4995-0001,10.0,No,1.0,6.0,6.0
4995-0001,11.0,For the pacemaker bundle we had challenges correctly identifying the patients that would be included in BPCI-A in a timely manner.,,,
4995-0001,12.0,Yes,1.0,3.0,3.0
4995-0001,13.0,No,1.0,3.0,3.0
4995-0001,14.0,,,,
4995-0001,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
4995-0001,16.0,Yes,1.0,7.0,7.0
4995-0001,17.0,Yes,1.0,7.0,7.0
4995-0001,18.0,,,,
4995-0001,19.0,NA: System already in place before this model,0.0,7.0,0.0
4995-0001,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
4995-0001,21.0,Unsure,2.0,3.0,6.0
4995-0001,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
4995-0001,23.0,,,,
4995-0001,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
4995-0001,25.0,,,,
4995-0001,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
4995-0001,27.0,,,,
4995-0001,28.0,No,1.0,5.0,5.0
4995-0001,29.0,---,,,
4995-0001,30.0,No,1.0,5.0,5.0
4995-0001,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
4995-0001,32.0,,,,
4995-0001,33.0,Yes,1.0,7.0,7.0
4995-0001,34.0,No,1.0,5.0,5.0
4995-0001,35.0,NA; we don't use Fraud and Abuse Waivers,0.0,3.0,0.0
4995-0001,36.0,No,1.0,5.0,5.0
4995-0001,37.0,---,,,
4995-0001,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
4995-0001,39.0,NA; not using any of the waivers,0.0,6.0,0.0
4995-0001,40.1,,,,
4995-0001,40.2,,,,
4995-0001,40.3,,,,
4995-0001,40.4,,,,
4995-0001,40.5,,,,
4995-0001,41.0,,,,
4995-0001,42.0,Yes,1.0,3.0,3.0
4995-0001,43.0,Yes,1.0,7.0,7.0
4995-0001,44.0,No,3.0,5.0,15.0
4995-0001,45.0,,,,
4995-0001,46.1,,,,
4995-0001,46.2,,,,
4995-0001,46.3,,,,
4995-0001,46.4,,,,
4995-0001,46.5,,,,
4995-0001,47.0,,,,
4995-0001,48.0,No,3.0,7.0,21.0
4995-0001,49.0,,,,
4995-0001,50.0,No,1.0,5.0,5.0
4995-0001,51.0,,,,
4995-0001,52.0,No,3.0,4.0,12.0
4995-0001,53.0,No,1.0,4.0,4.0
4995-0001,54.0,,,,
4995-0001,55.0,Yes,1.0,6.0,6.0
4995-0001,56.0,"Allina Health has a standard process for rapid identification and remediation of any quality or safety concerns across the entire health system.  Any immediate quality or safety issues would be identified through the daily safety huddles and addressed immediately.  In addition, the Care Management team has team huddles every other week to discuss any ongoing challenges for BPCI cases.  A Medical Director leads these meetings and is able to advise as needed.",,,
4995-0001,57.0,Yes; using existing system,1.0,7.0,7.0
4995-0001,58.0,,,,
4995-0001,59.0,No,1.0,4.0,4.0
4995-0001,60.1,,,,
4995-0001,60.2,,,,
4995-0001,60.3,,,,
4995-0001,60.4,,,,
4995-0001,60.5,,,,
4995-0001,60.6,,,,
4995-0001,60.7,,,,
4995-0001,60.8,,,,
4995-0001,61.0,Yes,1.0,7.0,7.0
4995-0001,62.0,"The amount and frequency of forms that need to be completed and the lack of clarity on how they should be completed. If a form is completed incorrectly, it would be helpful to know what the error is instead of just a message saying there's an error and resubmit.",,,
4995-0001,63.0,---,,,
4995-0001,64.0,No,1.0,7.0,7.0
4995-0001,65.0,,,,
