BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
5103-0000,0.0,5103-0000,,,
5103-0000,0.1,"EmergeOrtho, P.A.",,,
5103-0000,1.0,Yes,1.0,4.0,4.0
5103-0000,2.0,Yes,1.0,4.0,4.0
5103-0000,3.0,No,1.0,3.0,3.0
5103-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
5103-0000,5.0,No,1.0,5.0,5.0
5103-0000,6.0,Unsure,2.0,6.0,12.0
5103-0000,7.0,Unsure,2.0,4.0,8.0
5103-0000,8.0,Agree,1.0,4.0,4.0
5103-0000,9.0,We are putting a stronger emphasis on the Spine cases to ensure full patient optimization prior to surgery.  This process previously had a high impact with our Joint cases and we hope to roll out a similar process for patient optimization for our Spine cases.,,,
5103-0000,10.0,No,1.0,6.0,6.0
5103-0000,11.0,SKIP,,,
5103-0000,12.0,Unsure,2.0,3.0,6.0
5103-0000,13.0,No,1.0,3.0,3.0
5103-0000,14.0,SKIP,,,
5103-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
5103-0000,16.0,No,3.0,7.0,21.0
5103-0000,17.0,No,3.0,7.0,21.0
5103-0000,18.0,SKIP,,,
5103-0000,19.0,Yes,1.0,7.0,7.0
5103-0000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
5103-0000,21.0,Unsure,2.0,3.0,6.0
5103-0000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
5103-0000,23.0,SKIP,,,
5103-0000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
5103-0000,25.0,SKIP,,,
5103-0000,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
5103-0000,27.0,"As a company comprised of 5 Regions under the same Tax ID, it took much collaboration and understanding of the BPCI Classic program to ensure our success with the BPCI Advanced program.  We have elected for several years now to (1) Pay our Direct Expenses first, (2) Pay the NPRA-Participating Physicians second and (3) Pay towards company overhead with any remaining funds.",,,
5103-0000,28.0,Yes,3.0,5.0,15.0
5103-0000,29.0,Yes,1.0,7.0,7.0
5103-0000,30.0,Yes,3.0,5.0,15.0
5103-0000,31.0,Yes,1.0,7.0,7.0
5103-0000,32.0,"Our process to monitor the Shared Repayment Amounts will be as follows:  (1) calculate the profit/loss from each reconciliation, (2) expect gains to be paid to the company and (3) expect losses to be subtracted out of future EOBs from CMS.  This is a simplified version since we are not convening for any other entity other than ourself.",,,
5103-0000,33.0,In progress,2.0,7.0,14.0
5103-0000,34.0,Yes,3.0,5.0,15.0
5103-0000,35.0,No,1.0,3.0,3.0
5103-0000,36.0,Yes,3.0,5.0,15.0
5103-0000,37.0,Yes,3.0,5.0,15.0
5103-0000,38.0,No,1.0,3.0,3.0
5103-0000,39.0,Yes,1.0,6.0,6.0
5103-0000,40.1,Yes,,,
5103-0000,40.2,,,,
5103-0000,40.3,,,,
5103-0000,40.4,,,,
5103-0000,40.5,,,,
5103-0000,41.0,Skip,,,
5103-0000,42.0,Yes,1.0,3.0,3.0
5103-0000,43.0,Yes,1.0,7.0,7.0
5103-0000,44.0,Yes,1.0,5.0,5.0
5103-0000,45.0,"We have created a BPCI committee which consists of 3 key administrative individuals.  Each person has been fully involved in the process of the program.  Should any one person leave the company, our plan is to have a succession plan in place with the remaining individuals to continue the program.  We also have an orientation program for new case managers that join the program to ensure the understanding of the program and the compliance requirements.Finally, we also have created a Physician Champion Task Force that meets as needed and is familiar with the program requirements.  This group of physicians has worked with both the BPCI Classic program as well as the BPCI Advanced program.  They are familiar with the data and program submission requirements.",,,
5103-0000,46.1,,,,
5103-0000,46.2,Yes,,,
5103-0000,46.3,,,,
5103-0000,46.4,,,,
5103-0000,46.5,,,,
5103-0000,47.0,Skip,,,
5103-0000,48.0,Yes,1.0,7.0,7.0
5103-0000,49.0,Skip,,,
5103-0000,50.0,No,1.0,5.0,5.0
5103-0000,51.0,Skip,,,
5103-0000,52.0,No,3.0,4.0,12.0
5103-0000,53.0,No,1.0,4.0,4.0
5103-0000,54.0,SKIP,,,
5103-0000,55.0,Yes,1.0,6.0,6.0
5103-0000,56.0,Regular Communication touch points with the patient to ensure understanding of the program and to allow the patient to opportunity to communicate any concerns.Committee meeting to discuss the concerns from participants.Documentation of concerns to remain with the participation agreement.,,,
5103-0000,57.0,In progress,2.0,7.0,14.0
5103-0000,58.0,,,,
5103-0000,59.0,No,1.0,4.0,4.0
5103-0000,60.1,,,,
5103-0000,60.2,,,,
5103-0000,60.3,,,,
5103-0000,60.4,,,,
5103-0000,60.5,,,,
5103-0000,60.6,,,,
5103-0000,60.7,,,,
5103-0000,60.8,Yes,,,
5103-0000,61.0,Yes,1.0,7.0,7.0
5103-0000,62.0,SKIP,,,
5103-0000,63.0,Yes,1.0,7.0,7.0
5103-0000,64.0,No,1.0,7.0,7.0
5103-0000,65.0,"Slow release of data early on with making a decision Retro drop (March 2019).  Should have had at least 3 months of data to make an informed decision.  Also, there needs to be a more clear way to easily identify patients that are associated with a Next Generation ACO.",,,
