BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
6071-0001,0.0,6071-0001,,,
6071-0001,0.1,"NW Momentum Health Partners ACO, LLC",,,
6071-0001,1.0,Yes,1.0,4.0,4.0
6071-0001,2.0,Yes,1.0,4.0,4.0
6071-0001,3.0,No,1.0,3.0,3.0
6071-0001,4.0,NA; we didn't have any changes,0.0,7.0,0.0
6071-0001,5.0,Yes,3.0,5.0,15.0
6071-0001,6.0,Yes,3.0,6.0,18.0
6071-0001,7.0,Unsure,2.0,4.0,8.0
6071-0001,8.0,Agree,1.0,4.0,4.0
6071-0001,9.0,"NWMHP has made progress with identifying trends to support both provider and beneficiary communication with transitions of care and development of care pathways.  Pathways are currently in review with cardiology input for bundles selected to include a review of rehospitalizations and contributing factors for provider education.  NWMHP has created and shared score cards with improved outcomes related to appropriate level care, assistance with care coordination, and education regarding Advance Care Planning.",,,
6071-0001,10.0,Yes,3.0,6.0,18.0
6071-0001,11.0,"Barriers: 1)  Beneficiary engagement for 90 day post-discharge to support education for self-care and social determinants of health support due to limited awareness of who NWMHP ACO is.   2) Non-participating provider engagement. Successes: 1) NWMHP, in partnership with our participants, reduced SNF utilization from 54% of discharges to 46% by supporting safe discharges to home and warm handoffs.   2) NWMHP has developed analytics to map out our outcomes and to analyze our strategies for success.  We have not fully met our goals however we are able to identify where we are improving and what trends we have opportunities to address.",,,
6071-0001,12.0,Yes,1.0,3.0,3.0
6071-0001,13.0,No,1.0,3.0,3.0
6071-0001,14.0,,,,
6071-0001,15.0,Yes,1.0,7.0,7.0
6071-0001,16.0,Yes,1.0,7.0,7.0
6071-0001,17.0,Yes,1.0,7.0,7.0
6071-0001,18.0,,,,
6071-0001,19.0,Partial; establishing accounting system,2.0,7.0,14.0
6071-0001,20.0,Yes,3.0,5.0,15.0
6071-0001,21.0,NA; already in a financial arrangement(s),0.0,3.0,0.0
6071-0001,22.0,Yes,1.0,7.0,7.0
6071-0001,23.0,,,,
6071-0001,24.0,Yes,1.0,7.0,7.0
6071-0001,25.0,,,,
6071-0001,26.0,Yes,1.0,7.0,7.0
6071-0001,27.0,Participant limited taste for risk with little to no previous experience in value based models dependent on quality outcomes.,,,
6071-0001,28.0,No,1.0,5.0,5.0
6071-0001,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
6071-0001,30.0,Yes,3.0,5.0,15.0
6071-0001,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
6071-0001,32.0,,,,
6071-0001,33.0,Yes,1.0,7.0,7.0
6071-0001,34.0,No,1.0,5.0,5.0
6071-0001,35.0,No,1.0,3.0,3.0
6071-0001,36.0,No,1.0,5.0,5.0
6071-0001,37.0,NA; we don't use MPP Waivers,0.0,5.0,0.0
6071-0001,38.0,No,1.0,3.0,3.0
6071-0001,39.0,NA; not using any of the waivers,0.0,6.0,0.0
6071-0001,40.1,,,,
6071-0001,40.2,,,,
6071-0001,40.3,Off,,,
6071-0001,40.4,,,,
6071-0001,40.5,Yes,,,
6071-0001,41.0,We have not implemented any waivers for the BPCI Advanced program however have identified the benefit.  To implement the waivers within the BPCI Advanced program further analysis of workflow's for accuracy with identifying participating beneficiaries is required.,,,
6071-0001,42.0,Yes,1.0,3.0,3.0
6071-0001,43.0,Yes,1.0,7.0,7.0
6071-0001,44.0,Yes,1.0,5.0,5.0
6071-0001,45.0,"NW Momentum has informal workflows in place explaining required documentation processes and procedures, as well as day to day operational scope. These informal workflows are currently being refined and converted to formal procedures.",,,
6071-0001,46.1,,,,
6071-0001,46.2,,,,
6071-0001,46.3,Yes,,,
6071-0001,46.4,Yes,,,
6071-0001,46.5,,,,
6071-0001,47.0,,,,
6071-0001,48.0,Yes,1.0,7.0,7.0
6071-0001,49.0,,,,
6071-0001,50.0,No,1.0,5.0,5.0
6071-0001,51.0,,,,
6071-0001,52.0,No,3.0,4.0,12.0
6071-0001,53.0,No,1.0,4.0,4.0
6071-0001,54.0,,,,
6071-0001,55.0,Yes,1.0,6.0,6.0
6071-0001,56.0,Trending of care and services provided within the NGACO population and the BPCI Advanced population are compared and monitored for outcomes and appropriate discharge planning and services to support health outcomes.,,,
6071-0001,57.0,Yes; using existing system,1.0,7.0,7.0
6071-0001,58.0,Agree,1.0,7.0,7.0
6071-0001,59.0,No,1.0,4.0,4.0
6071-0001,60.1,,,,
6071-0001,60.2,,,,
6071-0001,60.3,,,,
6071-0001,60.4,,,,
6071-0001,60.5,,,,
6071-0001,60.6,,,,
6071-0001,60.7,,,,
6071-0001,60.8,Yes,,,
6071-0001,61.0,Yes,1.0,7.0,7.0
6071-0001,62.0,,,,
6071-0001,63.0,Yes,1.0,7.0,7.0
6071-0001,64.0,No,1.0,7.0,7.0
6071-0001,65.0,,,,
