BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
2291-0000,0.0,2291-0000,,,
2291-0000,0.1,Overlake Hospital Medical Center,,,
2291-0000,1.0,Yes,1.0,4.0,4.0
2291-0000,2.0,Yes,1.0,4.0,4.0
2291-0000,3.0,No,1.0,3.0,3.0
2291-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
2291-0000,5.0,Yes,3.0,5.0,15.0
2291-0000,6.0,Yes,3.0,6.0,18.0
2291-0000,7.0,Unsure,2.0,4.0,8.0
2291-0000,8.0,Agree,1.0,4.0,4.0
2291-0000,9.0,"We have been working internally and meeting with the physicians, care team, and service line leaders around readmissions.  In addition, through our clinically integrity network, Eastside Health Network, we have developed further relations with post-acute providers with the creation of a monthly post acute forum.  Through that work we continue to focus on readmission processes and appropriate referrals for appropriate length of stay.",,,
2291-0000,10.0,No,1.0,6.0,6.0
2291-0000,11.0,We continue to focus on appropriate utilization of the right type of post acute provider for stroke patients.  We will continue to develop additional post acute relationships through our post acute forum with our common post acute providers.,,,
2291-0000,12.0,Yes,1.0,3.0,3.0
2291-0000,13.0,No,1.0,3.0,3.0
2291-0000,14.0,NA,,,
2291-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
2291-0000,16.0,Yes,1.0,7.0,7.0
2291-0000,17.0,Yes,1.0,7.0,7.0
2291-0000,18.0,n/a,,,
2291-0000,19.0,Yes,1.0,7.0,7.0
2291-0000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
2291-0000,21.0,Yes,3.0,3.0,9.0
2291-0000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2291-0000,23.0,,,,
2291-0000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2291-0000,25.0,,,,
2291-0000,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
2291-0000,27.0,"We will look to in the future establish agreements with providers when the situaiton is right.  For Stroke, our only A-BPCI episode, we employ the providers.  We will look to share with post acute providers in the future as well as physicians when they are not employed by our health system.",,,
2291-0000,28.0,No,1.0,5.0,5.0
2291-0000,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
2291-0000,30.0,No,1.0,5.0,5.0
2291-0000,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
2291-0000,32.0,n/a,,,
2291-0000,33.0,In progress,2.0,7.0,14.0
2291-0000,34.0,Yes,3.0,5.0,15.0
2291-0000,35.0,No,1.0,3.0,3.0
2291-0000,36.0,Yes,3.0,5.0,15.0
2291-0000,37.0,No,1.0,5.0,5.0
2291-0000,38.0,No,1.0,3.0,3.0
2291-0000,39.0,NA; not using any of the waivers,0.0,6.0,0.0
2291-0000,40.1,,,,
2291-0000,40.2,,,,
2291-0000,40.3,,,,
2291-0000,40.4,,,,
2291-0000,40.5,,,,
2291-0000,41.0,n/a,,,
2291-0000,42.0,Yes,1.0,3.0,3.0
2291-0000,43.0,Yes,1.0,7.0,7.0
2291-0000,44.0,Yes,1.0,5.0,5.0
2291-0000,45.0,"We currently have two main individuals who have oversight of the A-BPCI participation.  This is the director of reimbursement and CFO.  If either left the organization, the other has the knowledge and understanding of the program to lead efforts.  In addition, a reimbursement analyst has knowledge of the program and management of the data to assist in implementation of the various requirements and management of data.",,,
2291-0000,46.1,,,,
2291-0000,46.2,,,,
2291-0000,46.3,Yes,,,
2291-0000,46.4,Yes,,,
2291-0000,46.5,,,,
2291-0000,47.0,The patients are provided notice through our electronic health record at time of their hospital stay or at the time of discharge.,,,
2291-0000,48.0,Yes,1.0,7.0,7.0
2291-0000,49.0,,,,
2291-0000,50.0,No,1.0,5.0,5.0
2291-0000,51.0,,,,
2291-0000,52.0,No,3.0,4.0,12.0
2291-0000,53.0,Yes,3.0,4.0,12.0
2291-0000,54.0,"The biggest negative has been the financial impact of using critical access hospitals who function as a swing bed long post acute facility.  The payment rate for these facilities is not reflected in the target prices so a post acute stay at these facilities causes a huge financial lose.  Due to patients having the choice of their post acute facility, it can be difficult to not refer to these facilities.",,,
2291-0000,55.0,Yes,1.0,6.0,6.0
2291-0000,56.0,We do monitor data on a monthly or quarterly basis to understand what is happening.  This is shared with the stroke team (including the providers and stoke program manager).,,,
2291-0000,57.0,In progress,2.0,7.0,14.0
2291-0000,58.0,Agree,1.0,7.0,7.0
2291-0000,59.0,No,1.0,4.0,4.0
2291-0000,60.1,,,,
2291-0000,60.2,,,,
2291-0000,60.3,,,,
2291-0000,60.4,,,,
2291-0000,60.5,,,,
2291-0000,60.6,,,,
2291-0000,60.7,,,,
2291-0000,60.8,Yes,,,
2291-0000,61.0,Yes,1.0,7.0,7.0
2291-0000,62.0,n/a,,,
2291-0000,63.0,Yes,1.0,7.0,7.0
2291-0000,64.0,No,1.0,7.0,7.0
2291-0000,65.0,n/a,,,
