BPCI ID,Global Number,Topic Number,Topic,Text,Response
1075-0000,-1,0,General Information,BPID,1075-0000
1075-0000,0,1,General Information,Organization Legal Name,Dayton Osteopathic Hospital
1075-0000,1,1,General Information Requested,Does the Participant have current or past experience with CMS Innovation Center models and/or Medicare demonstrations beyond BPCI Advanced?,Yes
1075-0000,2,2,General Information Requested,Does the Participant have experience with value-based care beyond CMS Innovation Center models and/or Medicare demonstrations?,Yes
1075-0000,3,1,Organization Legal or Identification Changes,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",No
1075-0000,4,2,Organization Legal or Identification Changes,"If selected 'Yes' to question 1, have you reported these changes to CMS? [If your response to this question is 'no', please provide written notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Instruction and additional information are located under Article 3 of the Participation Agreement].",NA; we didn't have any changes
1075-0000,5,1,Participant Profile,Does the Participant anticipate making any additional changes to the list of Episode Initiators within the Participant Profile effective for Model Year 3?,No
1075-0000,6,2,Participant Profile,Is the Participant likely to add Clinical Episodes within the Participant Profile effective for Model Year 3?,Unsure
1075-0000,7,3,Participant Profile,Is the Participant likely to remove Clinical Episodes from the Participant Profile effective for Model Year 3?,No
1075-0000,8,1,Care Redesign Plan,The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the Care Redesign Plan.,Strongly Agree
1075-0000,9,2,Care Redesign Plan,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,"1. - Diagnosis-triggered or Clinical Episode-specific care pathways or protocols*Developed evidenced based practice order sets for CHF.  We are in the process of validating use of these.  The cardiology team is reviewing and working to develop next level of evidence based practices, with additional focused efforts on utilization of these order sets.3. - Use of computer-based clinical decision support system to generate case-specific advice*Utilize power BI in right time with weekly feedback to care team.  We have also deployed the Collective Medical Technology(CMT) to the care transition team to trigger manager activity in the transitional time frame."
1075-0000,10,3,Care Redesign Plan,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,No
1075-0000,11,4,Care Redesign Plan,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.",
1075-0000,12,1,CEHRT Use,"The Participant and/or the Downstream Episode Initiator(s) is on track to implement Certified Electronic Health Record Technology (CEHRT) in a manner sufficient to meet the applicable requirements of the Advanced Alternative Payment Model criterion under 42 C.F.R. & 414.1415(a)(1)(i). To meet this criterion, at least 75 percent of eligible clinicians in each participating APM Entity group, or each hospital if hospitals are the APM Entities, to use CEHRT to document and communicate clinical care.",Yes
1075-0000,13,2,CEHRT Use,Has the Participant had challenges meeting the CEHRT use requirements?,No
1075-0000,14,3,CEHRT Use,Please use the comment box below to describe any challenges to meeting the CEHRT use requirements.,
1075-0000,15,1,Partner Agreements,"For Convener Participants: Has the Participant established agreements with all Downstream Episode Initiators (Acute Care Hospitals, PGPs)?",NA; we are a Non-Convener Participant
1075-0000,16,2,Partner Agreements,Has the Participant established agreements with all Participating Practitioners?,No
1075-0000,17,3,Partner Agreements,"Has the Participant established processes, procedures and/or controls to validate and support monitoring of these agreements between the Participant and relevant partnering entities/individuals?",No
