BPCI ID,Global Number,Topic Number,Topic,Text,Response
5229-0000,-1,0,General Information,BPID,5229-0000
5229-0000,0,1,General Information,Organization Legal Name,Saint Vincent Hospital
5229-0000,1,1,General Information Requested,Does the Participant have current or past experience with CMS Innovation Center models and/or Medicare demonstrations beyond BPCI Advanced?,No
5229-0000,2,2,General Information Requested,Does the Participant have experience with value-based care beyond CMS Innovation Center models and/or Medicare demonstrations?,Yes
5229-0000,3,1,Organization Legal or Identification Changes,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",No
5229-0000,4,2,Organization Legal or Identification Changes,"If selected 'Yes' to question 1, have you reported these changes to CMS? [If your response to this question is 'no', please provide written notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Instruction and additional information are located under Article 3 of the Participation Agreement].",NA; we didn't have any changes
5229-0000,5,1,Participant Profile,Does the Participant anticipate making any additional changes to the list of Episode Initiators within the Participant Profile effective for Model Year 3?,No
5229-0000,6,2,Participant Profile,Is the Participant likely to add Clinical Episodes within the Participant Profile effective for Model Year 3?,Unsure
5229-0000,7,3,Participant Profile,Is the Participant likely to remove Clinical Episodes from the Participant Profile effective for Model Year 3?,No
5229-0000,8,1,Care Redesign Plan,The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the Care Redesign Plan.,Agree
5229-0000,9,2,Care Redesign Plan,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,"The Epic clinical EMR is very supportive of care being delivered for the initial acute episode, and for follow-up care by the AMI nurse navigator and care team, and into the physician offices of our collaborators.  We have developed the ability to get reports on all patients coded to an AMI DRG, who will thus be in the BPCI program.  Our AMI care team has gained great experience following patients across their 90 day episodes.  The cardiac physician champion, the cardiac clinical manager (a physician assistant) and the AMI navigator are all highly committed and now experienced.  In the last 5 months we have added a cardiac pharmacist, who handles discharge medication reconciliation on all AMI patients, and follows-up with them post-discharge.  We have also added a cardiac exercise physiologist who helps AMI patients craft individualized exercise programs.  We have clinical data support for analyzing the claims data.  The Executive Leadership Team is highly engaged at our BPCI Steering Council."
5229-0000,10,3,Care Redesign Plan,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,Yes
5229-0000,11,4,Care Redesign Plan,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.","We are working on the CarePort EMR software that would notify us if patients get admitted elsewhere, but this module is not yet installed in several of the regional hospitals where our AMI patients get their local care. Thus unless patients tell us (and we do ask), we are not always aware of ER Visits and Readmissions to other hospitals, until we get the CMS claims data well after the care delivery.  The Telehealth patient tools have been not as robust as desired, nor as accepted by patients as hoped.  Addressing socio-economic barriers to care is an every day challenge.  There can be gaps in the post-acute collaboration (e.g. one patient spent 44 days in a SNF outside our state)."
5229-0000,12,1,CEHRT Use,"The Participant and/or the Downstream Episode Initiator(s) is on track to implement Certified Electronic Health Record Technology (CEHRT) in a manner sufficient to meet the applicable requirements of the Advanced Alternative Payment Model criterion under 42 C.F.R. & 414.1415(a)(1)(i). To meet this criterion, at least 75 percent of eligible clinicians in each participating APM Entity group, or each hospital if hospitals are the APM Entities, to use CEHRT to document and communicate clinical care.",Yes
5229-0000,13,2,CEHRT Use,Has the Participant had challenges meeting the CEHRT use requirements?,No
5229-0000,14,3,CEHRT Use,Please use the comment box below to describe any challenges to meeting the CEHRT use requirements.,
5229-0000,15,1,Partner Agreements,"For Convener Participants: Has the Participant established agreements with all Downstream Episode Initiators (Acute Care Hospitals, PGPs)?",NA; we are a Non-Convener Participant
5229-0000,16,2,Partner Agreements,Has the Participant established agreements with all Participating Practitioners?,Yes
5229-0000,17,3,Partner Agreements,"Has the Participant established processes, procedures and/or controls to validate and support monitoring of these agreements between the Participant and relevant partnering entities/individuals?",Yes
5229-0000,18,4,Partner Agreements,Please use the comment box below to describe any challenges in implementing process and procedures to monitor agreements or in establishing agreements with partners.,
5229-0000,19,1,Financial / Programmatic Infrastructure,"Has the Participant set up an accounting system to be used, to measure and track Net Payment Reconciliation Amounts (NPRA) received from CMS, Repayment Amounts and Excess Spending Amounts owed to CMS and Administrative Services?",Partial; establishing accounting system
5229-0000,20,2,Financial / Programmatic Infrastructure,Is the Participant still participating in Financial Arrangements with one or more NPRA Sharing Partners?,NA; never participated in financial arrangements
5229-0000,21,3,Financial / Programmatic Infrastructure,Does the Participant plan to do so in the future?,Unsure
5229-0000,22,4,Financial / Programmatic Infrastructure,"Has the Participant implemented all BPCI Advanced required processes and procedures related to NPRA Sharing? For example: processes to verify Financial Arrangements comply with all applicable laws and regulations, processes to adhere to generally accepted accounting principles, compliance plan, and others outlined within the Participation Agreement.",NA; we don't participate in NPRA Sharing
5229-0000,23,5,Financial / Programmatic Infrastructure,"If selected 'No' to question 4, please describe any barriers/challenges in the comment box below.",Allegheny Health Network and SVH has an accounting system in place for tracking all general ledger activity related to patient claims as well as initiatives such as BPCI-Adv.We will plan to set up a formal accounting process once we enter into a Financial Arrangement with participating practitioners.
5229-0000,24,6,Financial / Programmatic Infrastructure,"Has the Participant fully established NPRA Sharing Arrangements with all NPRA Sharing Partners? [If your response to this question is 'yes', please upload your organization's NPRA Sharing Arrangement template or a populated agreement as an example to the amendment section of the Participant Portal. If you have more than one NPRA Sharing Arrangement, upload 1 example only]",NA; we don't participate in NPRA Sharing
5229-0000,25,7,Financial / Programmatic Infrastructure,"If selected 'No' to question 6, please explain noting any barriers or challenges.",
5229-0000,26,8,Financial / Programmatic Infrastructure,Has the Participant established a BPCI Advanced Entity Agreement with a BPCI Advanced Entity?,NA; we don't have relationship with a BPCI Advanced Entity
5229-0000,27,9,Financial / Programmatic Infrastructure,Please describe key considerations that informed the Participant's decision (e.g. willingness to take on risk) regarding establishing Financial Arrangements.,
5229-0000,28,1,Internal Cost Savings (ICS),Does the Participant plan to track and allow contribution of ICS associated with BPCI Advanced to the BPCI Advanced Savings Pool(s) in the next 12 months?,No
5229-0000,29,2,Internal Cost Savings (ICS),"If selected 'Yes' to question 1, has the Participant established a process to measure and track Internal Cost Savings associated with BPCI Advanced?",---
5229-0000,30,1,Net Payment Reconciliation Report (NPRA),"Does the Participant plan to share NPRA associated with BPCI Advanced in the first performance period, if savings are achieved? [Performance Period 1: October 1, 2018 through June 30, 2019]",No
5229-0000,31,2,Net Payment Reconciliation Report (NPRA),Has the Participant implemented processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced?,Yes
5229-0000,32,3,Net Payment Reconciliation Report (NPRA),"If selected 'Yes' to question 2, please describe your processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced.","Our Business Intelligence team sent out performance monitoring data on a monthly basis (claims data) for Performance Period 1.  This process in ongoing currently through Performance Period 2.In the event of a repayment to CMS, a liability will be set up for the amount owed and paid back in accordance with the CMS instructions."
5229-0000,33,1,Compliance Plan,"Has the Participant completed an initial Compliance Plan? [If your response is 'yes', please upload this document to the amendment section of the Participant Portal If your Compliance Plan includes multiple appendices, you can upload the main document only.]",Yes
5229-0000,34,1,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Fraud and AbuseWaivers (Financial Arrangements and/or Beneficiary Incentives)?,Yes
5229-0000,35,2,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Fraud and Abuse Waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use Financial Arrangements and/or Beneficiary Incentives in our most recent Participant Profile, but we have started using the waiver(s) recently.)",No
5229-0000,36,4,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Medicare Payment Policy (MPP) Waivers?,No
5229-0000,37,5,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If you selected 'Yes' to question 4, have you implemented the Payment Policy Waiver(s)?",NA; we don't use MPP Waivers
5229-0000,38,6,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Medicare Payment Policy waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use any of the MPP waivers in our most recent Participant Profile, but we have started using the waiver(s) recently.)",NA; we don't use MPP Waivers
5229-0000,39,8,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant established a process for monitoring compliance with waiver conditions?,NA; not using any of the waivers
5229-0000,40,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Attestation - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5229-0000,41,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Internal audit - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5229-0000,42,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have not elected to use any waivers - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5229-0000,43,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have elected to use waivers, but have not yet established a process for monitoring compliance with waiver conditions - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5229-0000,44,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Other - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
5229-0000,45,10,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If selected 'Other' to question 9, please list strategies in the comment box below.",
5229-0000,46,1,Participation in Shared Learning Activities,"Has the Participant participated in the shared learning activities (e.g., webinars, emails, town hall meetings) identified by CMS?",Yes
5229-0000,47,1,Knowledge Management / Record Keeping / Succession Planning,Does the Participant have a process in place related to recordsmanagement associated with BPCI Advanced Model?,Yes
5229-0000,48,2,Knowledge Management / Record Keeping / Succession Planning,Does the Participant have a succession plan in place for when individuals in management or individuals who oversee implementation of the BPCI Advanced Model depart the organization?,Yes
5229-0000,49,3,Knowledge Management / Record Keeping / Succession Planning,"If selected 'Yes' to question 2, please provide a brief explanation of that process below.","Our hospital and health system provide oversight and coverage for both Clinical Operations and Administrative Support specifically to the BPCI-Advanced Model.  There has been and continues to be broad transparency, collaboration and support in the work done by all teams working on this Program."
5229-0000,50,1,Beneficiary Notification,Emailed to beneficiaries - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
5229-0000,51,1,Beneficiary Notification,Mailed to the beneficiary's address - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Yes
5229-0000,52,1,Beneficiary Notification,Provided to beneficiary during an Inpatient Hospital stay or Outpatient Visit - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Yes
5229-0000,53,1,Beneficiary Notification,Provided during discharge procedures - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
5229-0000,54,1,Beneficiary Notification,Other - What is the primary communication channel(s) used to provide beneficiary notification? Select all that applies.,Not Selected/ Not Answered
5229-0000,55,2,Beneficiary Notification,"If selected 'Other' to question 1, please describe the communication channel used to provide beneficiary notifications.",
5229-0000,56,3,Beneficiary Notification,Does the Participant use the template Beneficiary Notification Letter provided by CMS?,Yes
5229-0000,57,4,Beneficiary Notification,"If selected 'No' to question 3, please explain.",
