BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
2589-0000,0.0,2589-0000,,,
2589-0000,0.1,The Fort Hamilton Hospital,,,
2589-0000,1.0,Yes,1.0,4.0,4.0
2589-0000,2.0,Yes,1.0,4.0,4.0
2589-0000,3.0,No,1.0,3.0,3.0
2589-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
2589-0000,5.0,No,1.0,5.0,5.0
2589-0000,6.0,Unsure,2.0,6.0,12.0
2589-0000,7.0,No,1.0,4.0,4.0
2589-0000,8.0,Strongly Agree,1.0,4.0,4.0
2589-0000,9.0,"1. - Diagnosis-triggered or Clinical Episode-specific care pathways or protocols*Developed evidenced based practice order sets for CHF.  We are in the process of validating use of these.  The cardiology team is reviewing and working to develop next level of evidence based practices, with additional focused efforts on utilization of these order sets.3. - Use of computer-based clinical decision support system to generate case-specific advice*Utilize power BI in right time with weekly feedback to care team.  We have also deployed the Collective Medical Technology(CMT) to the care transition team to trigger manager activity in the transitional time frame.",,,
2589-0000,10.0,No,1.0,6.0,6.0
2589-0000,11.0,,,,
2589-0000,12.0,Yes,1.0,3.0,3.0
2589-0000,13.0,No,1.0,3.0,3.0
2589-0000,14.0,,,,
2589-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
2589-0000,16.0,No,3.0,7.0,21.0
2589-0000,17.0,No,3.0,7.0,21.0
2589-0000,18.0,,,,
2589-0000,19.0,No,3.0,7.0,21.0
2589-0000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
2589-0000,21.0,Unsure,2.0,3.0,6.0
2589-0000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2589-0000,23.0,,,,
2589-0000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2589-0000,25.0,,,,
2589-0000,26.0,No,3.0,7.0,21.0
2589-0000,27.0,,,,
2589-0000,28.0,No,1.0,5.0,5.0
2589-0000,29.0,---,,,
2589-0000,30.0,No,1.0,5.0,5.0
2589-0000,31.0,No,3.0,7.0,21.0
2589-0000,32.0,,,,
2589-0000,33.0,Yes,1.0,7.0,7.0
2589-0000,34.0,No,1.0,5.0,5.0
2589-0000,35.0,No,1.0,3.0,3.0
2589-0000,36.0,No,1.0,5.0,5.0
2589-0000,37.0,---,,,
2589-0000,38.0,No,1.0,3.0,3.0
2589-0000,39.0,NA; not using any of the waivers,0.0,6.0,0.0
2589-0000,40.1,,,,
2589-0000,40.2,,,,
2589-0000,40.3,,,,
2589-0000,40.4,,,,
2589-0000,40.5,,,,
2589-0000,41.0,,,,
2589-0000,42.0,Yes,1.0,3.0,3.0
2589-0000,43.0,Yes,1.0,7.0,7.0
2589-0000,44.0,Yes,1.0,5.0,5.0
2589-0000,45.0,"All positions have job descriptions and when someone leaves their role it is evaluated and things that need managed have an interim leader/employee that supports those functions.  When a permanent replacement is made, they will be oriented to their job description based on needs of the job.",,,
2589-0000,46.1,,,,
2589-0000,46.2,,,,
2589-0000,46.3,Yes,,,
2589-0000,46.4,,,,
2589-0000,46.5,,,,
2589-0000,47.0,,,,
2589-0000,48.0,Yes,1.0,7.0,7.0
2589-0000,49.0,,,,
2589-0000,50.0,No,1.0,5.0,5.0
2589-0000,51.0,,,,
2589-0000,52.0,No,3.0,4.0,12.0
2589-0000,53.0,No,1.0,4.0,4.0
2589-0000,54.0,,,,
2589-0000,55.0,Yes,1.0,6.0,6.0
2589-0000,56.0,We follow our hospital and physician process for grievance management based on CMS requirements.,,,
2589-0000,57.0,Yes; using existing system,1.0,7.0,7.0
2589-0000,58.0,Strongly Agree,1.0,7.0,7.0
2589-0000,59.0,No,1.0,4.0,4.0
2589-0000,60.1,,,,
2589-0000,60.2,,,,
2589-0000,60.3,,,,
2589-0000,60.4,,,,
2589-0000,60.5,,,,
2589-0000,60.6,,,,
2589-0000,60.7,,,,
2589-0000,60.8,Yes,,,
2589-0000,61.0,Yes,1.0,7.0,7.0
2589-0000,62.0,Password issues have created some challenges.,,,
2589-0000,63.0,Yes,1.0,7.0,7.0
2589-0000,64.0,No,1.0,7.0,7.0
2589-0000,65.0,Challenges with the speed of change/understanding and needing to adopt change without have seen how we are actually performing in the current model.  Difficult to want to sign up for more when we haven't truly determined yet what our performance will be in first performance year.,,,
