BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1651-0001,0.0,1651-0001,,,
1651-0001,0.1,"TRIARQ Health Alliance of Florida, LLC",,,
1651-0001,1.0,No,3.0,4.0,12.0
1651-0001,2.0,No,3.0,4.0,12.0
1651-0001,3.0,No,1.0,3.0,3.0
1651-0001,4.0,---,,,
1651-0001,5.0,Yes,3.0,5.0,15.0
1651-0001,6.0,Yes,3.0,6.0,18.0
1651-0001,7.0,No,1.0,4.0,4.0
1651-0001,8.0,,,,
1651-0001,9.0,"Upon the decision of surgery, the patient and family are educated about their surgery and post-acute discharge plan. The patient is introduced to the QPathways patient engagement platform and their Care Coordinator. Following the clinical assessment, the care coordinators work with the patients during the pre and post-operative periods. The care coordinators and physicians take a proactive approach to setting expectations with the patient and family related to the expected discharge plan and status.",,,
1651-0001,10.0,No,1.0,6.0,6.0
1651-0001,11.0,"Once the physician makes the post-acute care plan that information is communicated to the patient, family, care coordinator, hospital, as well as all post-acute care providers that will be involved in the patients care. Our unique QPathways care platform allows for collaborative communication between the patient, physician, and entire care team.",,,
1651-0001,12.0,Yes,1.0,3.0,3.0
1651-0001,13.0,No,1.0,3.0,3.0
1651-0001,14.0,,,,
1651-0001,15.0,Yes,1.0,7.0,7.0
1651-0001,16.0,Yes,1.0,7.0,7.0
1651-0001,17.0,Yes,1.0,7.0,7.0
1651-0001,18.0,,,,
1651-0001,19.0,Yes,1.0,7.0,7.0
1651-0001,20.0,Yes,3.0,5.0,15.0
1651-0001,21.0,Yes,3.0,3.0,9.0
1651-0001,22.0,Yes,1.0,7.0,7.0
1651-0001,23.0,,,,
1651-0001,24.0,Yes,1.0,7.0,7.0
1651-0001,25.0,,,,
1651-0001,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
1651-0001,27.0,"The physicians willingness to change their practices that would provide patients with positive outcomes while decreasing the use of unnecessary ancillary post acute services, as well as the physician's willingness to take on risk. We don't have financial relationships with physicians that do not take on risk with us.",,,
1651-0001,28.0,No,1.0,5.0,5.0
1651-0001,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
1651-0001,30.0,Yes,3.0,5.0,15.0
1651-0001,31.0,Yes,1.0,7.0,7.0
1651-0001,32.0,All Physician Members (owners) of the TRIARQ Health Alliance are responsible equally for any Repayment Amounts due. Physicians are responsible to pay their portion immediately upon notification of an amount due. Our reconciliation and accounting systems track how much of the Repayment Amount due and paid by each physician.,,,
1651-0001,33.0,In progress,2.0,7.0,14.0
1651-0001,34.0,No,1.0,5.0,5.0
1651-0001,35.0,NA; we don't use Fraud and Abuse Waivers,0.0,3.0,0.0
1651-0001,36.0,No,1.0,5.0,5.0
1651-0001,37.0,---,,,
1651-0001,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
1651-0001,39.0,NA; not using any of the waivers,0.0,6.0,0.0
1651-0001,40.1,,,,
1651-0001,40.2,,,,
1651-0001,40.3,,,,
1651-0001,40.4,,,,
1651-0001,40.5,,,,
1651-0001,41.0,,,,
1651-0001,42.0,Yes,1.0,3.0,3.0
1651-0001,43.0,Yes,1.0,7.0,7.0
1651-0001,44.0,Yes,1.0,5.0,5.0
1651-0001,45.0,"We ensure there are always 3 employees that have access to and understand how to navigate and submit documents through the BPCI portal.  We all attend the webinars, read our emails daily and are members of several BPCI forum groups as well.",,,
1651-0001,46.1,,,,
1651-0001,46.2,,,,
1651-0001,46.3,,,,
1651-0001,46.4,,,,
1651-0001,46.5,,,,
1651-0001,47.0,,,,
1651-0001,48.0,Yes,1.0,7.0,7.0
1651-0001,49.0,,,,
1651-0001,50.0,No,1.0,5.0,5.0
1651-0001,51.0,,,,
1651-0001,52.0,Yes,1.0,4.0,4.0
1651-0001,53.0,No,1.0,4.0,4.0
1651-0001,54.0,We have seen an overall decrease length of stay at Skilled nursing facilities with patients going home sooner they have had a decrease in hospital readmissions related to post-operative infection.  We have also seen a dramatic decrease in the number of patents being discharged to a Skilled nursing facility from the hospital.  There has also been a decrease in use of unnecessary home health.,,,
1651-0001,55.0,Yes,1.0,6.0,6.0
1651-0001,56.0,We educate the providers to always maintain best practices and treat the patient with any needed services.  We monitor patients status in real time to ensure they are meeting their therapy goals and that there are no complications. If a patient is having any signs of complications the MD is immediately notified.  We ensure that all providers agree to treat the patient using best practices.,,,
1651-0001,57.0,Yes; using existing system,1.0,7.0,7.0
1651-0001,58.0,Agree,1.0,7.0,7.0
1651-0001,59.0,No,1.0,4.0,4.0
1651-0001,60.1,,,,
1651-0001,60.2,,,,
1651-0001,60.3,,,,
1651-0001,60.4,,,,
1651-0001,60.5,,,,
1651-0001,60.6,,,,
1651-0001,60.7,,,,
1651-0001,60.8,,,,
1651-0001,61.0,Yes,1.0,7.0,7.0
1651-0001,62.0,"Often due dates for forms other than the QPP or FAL are not listed in a user friendly manner.  For example,  this document was difficult to find and we had not received the email notifying that we were to submit with group 1.",,,
1651-0001,63.0,Yes,1.0,7.0,7.0
1651-0001,64.0,No,1.0,7.0,7.0
1651-0001,65.0,,,,
