BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1669-0000,0.0,1669-0000,,,
1669-0000,0.1,"Tucson Orthopaedic Institute, PC",,,
1669-0000,1.0,Yes,1.0,4.0,4.0
1669-0000,2.0,Yes,1.0,4.0,4.0
1669-0000,3.0,No,1.0,3.0,3.0
1669-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
1669-0000,5.0,No,1.0,5.0,5.0
1669-0000,6.0,Unsure,2.0,6.0,12.0
1669-0000,7.0,Unsure,2.0,4.0,8.0
1669-0000,8.0,Strongly Agree,1.0,4.0,4.0
1669-0000,9.0,"Since October 1, 2018, care redesign initiatives have focused on ensuring that patients receive the right care, for the right reason, and for the right period of time during their episode of care.  This has meant assessing preoperative risk to drive optimization prior to surgery as well as purposeful comprehensive patient care management during the post-acute phase.  Care redesign is largely complete but will be ongoing throughout the program.",,,
1669-0000,10.0,No,1.0,6.0,6.0
1669-0000,11.0,NA,,,
1669-0000,12.0,Yes,1.0,3.0,3.0
1669-0000,13.0,No,1.0,3.0,3.0
1669-0000,14.0,NA,,,
1669-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
1669-0000,16.0,Yes,1.0,7.0,7.0
1669-0000,17.0,Yes,1.0,7.0,7.0
1669-0000,18.0,None,,,
1669-0000,19.0,Yes,1.0,7.0,7.0
1669-0000,20.0,Yes,3.0,5.0,15.0
1669-0000,21.0,Yes,3.0,3.0,9.0
1669-0000,22.0,Yes,1.0,7.0,7.0
1669-0000,23.0,NA,,,
1669-0000,24.0,Yes,1.0,7.0,7.0
1669-0000,25.0,NA,,,
1669-0000,26.0,No,3.0,7.0,21.0
1669-0000,27.0,Tucson Orthopaedics has a long history as a convener in BPCI Classic and is comfortable taking measured risk in certain orthopedic bundles.  The structure of financial arrangements from BPCI Classic carried over seamlessly to BPCI Advanced.,,,
1669-0000,28.0,Yes,3.0,5.0,15.0
1669-0000,29.0,Yes,1.0,7.0,7.0
1669-0000,30.0,Yes,3.0,5.0,15.0
1669-0000,31.0,Yes,1.0,7.0,7.0
1669-0000,32.0,"Tucson Orthopedics utilizes Stryker Performance Solutions to track and administer processes related to shared repayment amounts.  Shared repayment parameters are as follows for the non-convener and downstream gainsharing physicians:If the Repayment Amount or Excess Spending Amount for a Performance Period exceeds the amount available in the Reserve Pool at the time of the initial Reconciliation, Participant shall be responsible for 40% of the remaining amount owed to CMS, with Participating Practitioners responsible for the other 60% (the Practitioner Share). The percentage of the Practitioner Share that must be paid by each Participating Practitioner as a Shared Repayment Amount will be the proportion of the total Repayment Amount (or Excess Spending Amount generated by such Participating Practitioners Episodes of Care during the Performance Period as compared to the Repayment Amount or Excess Spending Amount generated by all Episodes of Care during the Performance Period.",,,
1669-0000,33.0,In progress,2.0,7.0,14.0
1669-0000,34.0,Yes,3.0,5.0,15.0
1669-0000,35.0,No,1.0,3.0,3.0
1669-0000,36.0,Yes,3.0,5.0,15.0
1669-0000,37.0,Yes,3.0,5.0,15.0
1669-0000,38.0,No,1.0,3.0,3.0
1669-0000,39.0,Yes,1.0,6.0,6.0
1669-0000,40.1,,,,
1669-0000,40.2,Yes,,,
1669-0000,40.3,,,,
1669-0000,40.4,,,,
1669-0000,40.5,,,,
1669-0000,41.0,NA,,,
1669-0000,42.0,Yes,1.0,3.0,3.0
1669-0000,43.0,Yes,1.0,7.0,7.0
1669-0000,44.0,Yes,1.0,5.0,5.0
1669-0000,45.0,Tucson Orthopaedics is a large PGP non-convener and an impressive administrative team and clinicians devoted to BPCI Advanced. Succession planning is not an issue.,,,
1669-0000,46.1,,,,
1669-0000,46.2,Yes,,,
1669-0000,46.3,Yes,,,
1669-0000,46.4,,,,
1669-0000,46.5,Yes,,,
1669-0000,47.0,"Patients receive a paper copy of the beneficiary notification form to in their pre-op educational packet prior to surgery.  Beneficiary notification is also provided electronically via RecoveryCOACH, Stryker Performance Solution's web based patient engagement and care management platform.",,,
1669-0000,48.0,Yes,1.0,7.0,7.0
1669-0000,49.0,NA,,,
1669-0000,50.0,No,1.0,5.0,5.0
1669-0000,51.0,NA,,,
1669-0000,52.0,No,3.0,4.0,12.0
1669-0000,53.0,No,1.0,4.0,4.0
1669-0000,54.0,NA,,,
1669-0000,55.0,Yes,1.0,6.0,6.0
1669-0000,56.0,"Medicare claims provided are monitored monthly for trends including readmission rates, emergency room use (diagnosis, day of the week, etc.), and complications.  If a negative trend is identified, the information is communicated back to all parties so that an action plan can be put into place. Participating physicians are routinely reminded that insufficient care may lead to higher cost and that the right care at the right time typically leads to cost reduction.",,,
1669-0000,57.0,Yes; using existing system,1.0,7.0,7.0
1669-0000,58.0,Strongly Agree,1.0,7.0,7.0
1669-0000,59.0,No,1.0,4.0,4.0
1669-0000,60.1,,,,
1669-0000,60.2,,,,
1669-0000,60.3,,,,
1669-0000,60.4,,,,
1669-0000,60.5,,,,
1669-0000,60.6,,,,
1669-0000,60.7,,,,
1669-0000,60.8,Yes,,,
1669-0000,61.0,Yes,1.0,7.0,7.0
1669-0000,62.0,- New templates are provided by CMS every quarter for quarterly deliverables with little to no noticeable change- Documents have to be submitted quarterly regardless of whether there is no change from the previous submission- There is typically very little time given to complete a large set of deliverables with very little advanced warning.,,,
1669-0000,63.0,Yes,1.0,7.0,7.0
1669-0000,64.0,No,1.0,7.0,7.0
1669-0000,65.0,NA,,,
