BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
5397-0001,0.0,5397-0001,,,
5397-0001,0.1,"University Hospitals Accountable Care Organization, Inc.",,,
5397-0001,1.0,Yes,1.0,4.0,4.0
5397-0001,2.0,Yes,1.0,4.0,4.0
5397-0001,3.0,No,1.0,3.0,3.0
5397-0001,4.0,NA; we didn't have any changes,0.0,7.0,0.0
5397-0001,5.0,No,1.0,5.0,5.0
5397-0001,6.0,Unsure,2.0,6.0,12.0
5397-0001,7.0,Unsure,2.0,4.0,8.0
5397-0001,8.0,Strongly Agree,1.0,4.0,4.0
5397-0001,9.0,"At University Hospitals Health Systems (UH), we are dedicated to providing high quality care driven by evidence-based practices, patient engagement, coordination of care, and care transitions. The UH BPCIA team has engaged the High Reliability Medicine staff to collaborate with  Division Chiefs of 21 disease groups in order to standardize clinical pathway guidelines, EMR ordersets, delivery of care, patient education, and primary care physician education. In addition, hospital ancillary teams have been engaged in order to create standardized patient mobility scoring systems to assist in discharging patients to the appropriate next site of care and to begin early ambulation in hopes of minimizing deconditioning. Last, multiple oversight committees and project teams have been established to lead and monitor operations, quality and safety, as well as patient education.",,,
5397-0001,10.0,No,1.0,6.0,6.0
5397-0001,11.0,"We are impressed by the excitement, and engagement, of clinical teams and ACH Episode Initiator leadership. There has been a great deal of collegial spirit as our subject matter experts focus on enhancing acute care delivered to our patients as well as ensuring patients are discharged to the appropriate location to further their healing. We are excited when considering the efforts being placed in redesigning our care plans and standardizing processes across the health system. To us, the witnessed dedication and desire to improve patient outcomes is truly a success.",,,
5397-0001,12.0,Yes,1.0,3.0,3.0
5397-0001,13.0,No,1.0,3.0,3.0
5397-0001,14.0,No comments at this time.,,,
5397-0001,15.0,Yes,1.0,7.0,7.0
5397-0001,16.0,No,3.0,7.0,21.0
5397-0001,17.0,Yes,1.0,7.0,7.0
5397-0001,18.0,"The biggest challenge experienced is simply the lack of BPCIA education amongst partners. To mitigate this challenge, our team visits each ACH facility quarterly to share critical program information and education that has been created to detail agreement and quality requirements. A BPCIA community site, for the purpose of education, has been created internally at the UH Digital Workplace, and bi-weekly meetings have been held with Division Chiefs to assist in delivery of accurate details to their physician teams. In addition, the Medical Director of BPCIA frequently engages with physicians and ACH partners to share updates for process and procedure while the Administrative Director collaborates to share financial updates as well as post-acute utilization metrics.Another challenge has been the requirement that we enter Participating Practitioner Agreement for providers that we designate as QPPs.  With 37 episode combinations across 9 hospitals, we have many providers involved in our BPCIA program.  It is very difficult to obtain agreements with all of the providers.  We would prefer a process were we provide a notice to the provider, educating them about the BPCIA program, and the fact that we intend to include them on the QPP list.  At that point, they could choose to opt out and we would not include them on the list.",,,
5397-0001,19.0,No,3.0,7.0,21.0
5397-0001,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
5397-0001,21.0,Unsure,2.0,3.0,6.0
5397-0001,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
5397-0001,23.0,No comments at this time as we are not NPRA sharing.,,,
5397-0001,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
5397-0001,25.0,No comments at this time as we are not NPRA sharing.,,,
5397-0001,26.0,Yes,1.0,7.0,7.0
5397-0001,27.0,"UH leadership thoughtfully weighed the pros and cons of entering the voluntary BPCIA initiative. After much consideration, willingness to assume financial risk stemmed from our experience in other value based payment models such as Medicare Shared Savings and BPCI. Prior to BPCIA, our team established communications and care coordination efforts with physicians and post-acute providers including primary care providers and community resources. Further, we established a care management structure that allowed for the identification of high risk patients, tracking of the patient's status across the episode and care coordination with an assigned clinical resource (e.g. patient navigator) for the duration of the bundle. All of these efforts were designed to focus on improving beneficiary outcomes and experience, and used to influence policy and practice within our organization. We continue to work with our post-acute and community partners in the development of common practices and processes.",,,
5397-0001,28.0,No,1.0,5.0,5.0
5397-0001,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
5397-0001,30.0,No,1.0,5.0,5.0
5397-0001,31.0,No,3.0,7.0,21.0
5397-0001,32.0,No comments.,,,
5397-0001,33.0,In progress,2.0,7.0,14.0
5397-0001,34.0,Yes,3.0,5.0,15.0
5397-0001,35.0,No,1.0,3.0,3.0
5397-0001,36.0,Yes,3.0,5.0,15.0
5397-0001,37.0,No,1.0,5.0,5.0
5397-0001,38.0,No,1.0,3.0,3.0
5397-0001,39.0,NA; not using any of the waivers,0.0,6.0,0.0
5397-0001,40.1,,,,
5397-0001,40.2,,,,
5397-0001,40.3,,,,
5397-0001,40.4,,,,
5397-0001,40.5,,,,
5397-0001,41.0,No comments.,,,
5397-0001,42.0,Yes,1.0,3.0,3.0
5397-0001,43.0,Yes,1.0,7.0,7.0
5397-0001,44.0,Yes,1.0,5.0,5.0
5397-0001,45.0,"At University Hospitals, we recognize the ""Next Man Up"" methodology. Each member of our team is highly involved, ready and willing to get the collective job done no matter what the set-back could be. While we have a small team at this time, our newest employees have been offered opportunities to take on critical, game-changing assignments forcing them to think outside-the-box in an effort to learn program requirements and adhere to the Participant Agreement. We realize the bottom line is important; however, teamwork is the most critical component to our success. With this in mind, all have been provided with appropriate cross-training, shadowing, and project leadership opportunities in order to provide a well-balanced experience in the event a member of the team departs the organization.",,,
5397-0001,46.1,,,,
5397-0001,46.2,Yes,,,
5397-0001,46.3,,,,
5397-0001,46.4,,,,
5397-0001,46.5,,,,
5397-0001,47.0,No comments.,,,
5397-0001,48.0,Yes,1.0,7.0,7.0
5397-0001,49.0,No comments,,,
5397-0001,50.0,No,1.0,5.0,5.0
5397-0001,51.0,No comments,,,
5397-0001,52.0,Yes,1.0,4.0,4.0
5397-0001,53.0,No,1.0,4.0,4.0
5397-0001,54.0,"Change is hard, and to be honest, we were expecting a great deal of resistance from system-wide physicians, leaders, and hospital staff when implementing workflow changes in support of the BPCIA initiative. We have been pleasantly surprised by the thoughtful participation of our colleagues as we all strive to improve patient outcomes and build framework for care processes. Being highly visible, and taking a caring approach, our team has been used as the ""sounding board"" for staff and physician concerns; I believe this results from our ability to build meaningful relationships of trust and transparency, which have proven to be highly respected despite the information delivered to our colleagues being negative at times. When negative communication has been delivered, we have witnessed a competitive spirit emerge resulting in teams brainstorming to quickly resolve identified problems...a bit of friendly rivalry throughout the health system. And...we have witnessed UH ACHs struggling with BPCIA performance seeking help, which is always hard to do.",,,
5397-0001,55.0,Yes,1.0,6.0,6.0
5397-0001,56.0,"The BPCIA and High Reliability Medicine (HRM) teams have created weekly process and monthly outcomes scorecards to monitor the performance of 21 disease processes across the UH health system. The process scorecards provide a weekly visual of performance by facility and disease group and encompass reduction in skilled nursing usage using evidence-based mobility assessment prior to discharge, increasing in Home w/ or w/out Home Health support for those patients who should be discharged home, and ensuring patients are following up with their physicians within seven days of discharge to enforce medication adherence, mitigate disease process concerns, and reduce readmissions. The monthly scorecards focus on 30- and 90-day patient outcomes relating to length of stay, mortality, readmissions, and cost. In addition, an interactive BPCIA quality dashboard is currently being created to track all BPCIA quality metrics to ensure we mitigate unintended consequence of the model.",,,
5397-0001,57.0,No,3.0,7.0,21.0
5397-0001,58.0,NA; we have not yet implemented a system for monitoring and responding to beneficiary complaints,0.0,7.0,0.0
5397-0001,59.0,NA; no complaint monitoring system yet,0.0,4.0,0.0
5397-0001,60.1,,,,
5397-0001,60.2,,,,
5397-0001,60.3,,,,
5397-0001,60.4,,,,
5397-0001,60.5,,,,
5397-0001,60.6,,,,
5397-0001,60.7,,,,
5397-0001,60.8,Yes,,,
5397-0001,61.0,Yes,1.0,7.0,7.0
5397-0001,62.0,"We have experienced a few barriers associated with BPCIA documentation:1. QPP templates are not user friendly, and we find it is difficult to add rows within already completed rows and columns when edits are necessary.2. At times, the Innovation Portal is slow when trying to upload and/or download documents.",,,
5397-0001,63.0,Yes,1.0,7.0,7.0
5397-0001,64.0,No,1.0,7.0,7.0
