BPCI ID,Global Number,Topic Number,Topic,Text,Response
1342-0000,-1,0,General Information,BPID,1342-0000
1342-0000,0,1,General Information,Organization Legal Name,Reading Hospital
1342-0000,1,1,General Information Requested,Does the Participant have current or past experience with CMS Innovation Center models and/or Medicare demonstrations beyond BPCI Advanced?,Yes
1342-0000,2,2,General Information Requested,Does the Participant have experience with value-based care beyond CMS Innovation Center models and/or Medicare demonstrations?,Yes
1342-0000,3,1,Organization Legal or Identification Changes,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",No
1342-0000,4,2,Organization Legal or Identification Changes,"If selected 'Yes' to question 1, have you reported these changes to CMS? [If your response to this question is 'no', please provide written notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Instruction and additional information are located under Article 3 of the Participation Agreement].",NA; we didn't have any changes
1342-0000,5,1,Participant Profile,Does the Participant anticipate making any additional changes to the list of Episode Initiators within the Participant Profile effective for Model Year 3?,No
1342-0000,6,2,Participant Profile,Is the Participant likely to add Clinical Episodes within the Participant Profile effective for Model Year 3?,Unsure
1342-0000,7,3,Participant Profile,Is the Participant likely to remove Clinical Episodes from the Participant Profile effective for Model Year 3?,Unsure
1342-0000,8,1,Care Redesign Plan,The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the Care Redesign Plan.,Agree
1342-0000,9,2,Care Redesign Plan,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,"Reading Hospital BPCI Advanced care redesign activities continue to be driven by system-level Clinical Effectiveness Teams (CETs) focused on redesigning clinical workflows across the acute and post-acute care settings by service line for each episode selected. The CETs are composed of physicians, nurses, ancillary staff, hospital administrators, and post-acute care providers. Each CET focuses on areas within the continuum of care, closely considering and implementing initiatives built on evidence-based medicine, beneficiary/caregiver engagement, quality and coordination of care, and care transitions."
1342-0000,10,3,Care Redesign Plan,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,No
1342-0000,11,4,Care Redesign Plan,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.",NA
1342-0000,12,1,CEHRT Use,"The Participant and/or the Downstream Episode Initiator(s) is on track to implement Certified Electronic Health Record Technology (CEHRT) in a manner sufficient to meet the applicable requirements of the Advanced Alternative Payment Model criterion under 42 C.F.R. & 414.1415(a)(1)(i). To meet this criterion, at least 75 percent of eligible clinicians in each participating APM Entity group, or each hospital if hospitals are the APM Entities, to use CEHRT to document and communicate clinical care.",Yes
1342-0000,13,2,CEHRT Use,Has the Participant had challenges meeting the CEHRT use requirements?,No
1342-0000,14,3,CEHRT Use,Please use the comment box below to describe any challenges to meeting the CEHRT use requirements.,NA
1342-0000,15,1,Partner Agreements,"For Convener Participants: Has the Participant established agreements with all Downstream Episode Initiators (Acute Care Hospitals, PGPs)?",NA; we are a Non-Convener Participant
1342-0000,16,2,Partner Agreements,Has the Participant established agreements with all Participating Practitioners?,Yes
1342-0000,17,3,Partner Agreements,"Has the Participant established processes, procedures and/or controls to validate and support monitoring of these agreements between the Participant and relevant partnering entities/individuals?",Yes
1342-0000,18,4,Partner Agreements,Please use the comment box below to describe any challenges in implementing process and procedures to monitor agreements or in establishing agreements with partners.,NA
1342-0000,19,1,Financial / Programmatic Infrastructure,"Has the Participant set up an accounting system to be used, to measure and track Net Payment Reconciliation Amounts (NPRA) received from CMS, Repayment Amounts and Excess Spending Amounts owed to CMS and Administrative Services?",Partial; establishing accounting system
1342-0000,20,2,Financial / Programmatic Infrastructure,Is the Participant still participating in Financial Arrangements with one or more NPRA Sharing Partners?,Yes
1342-0000,21,3,Financial / Programmatic Infrastructure,Does the Participant plan to do so in the future?,Yes
1342-0000,22,4,Financial / Programmatic Infrastructure,"Has the Participant implemented all BPCI Advanced required processes and procedures related to NPRA Sharing? For example: processes to verify Financial Arrangements comply with all applicable laws and regulations, processes to adhere to generally accepted accounting principles, compliance plan, and others outlined within the Participation Agreement.",Yes
1342-0000,23,5,Financial / Programmatic Infrastructure,"If selected 'No' to question 4, please describe any barriers/challenges in the comment box below.",NA
1342-0000,24,6,Financial / Programmatic Infrastructure,"Has the Participant fully established NPRA Sharing Arrangements with all NPRA Sharing Partners? [If your response to this question is 'yes', please upload your organization's NPRA Sharing Arrangement template or a populated agreement as an example to the amendment section of the Participant Portal. If you have more than one NPRA Sharing Arrangement, upload 1 example only]",Yes
1342-0000,25,7,Financial / Programmatic Infrastructure,"If selected 'No' to question 6, please explain noting any barriers or challenges.",NA
1342-0000,26,8,Financial / Programmatic Infrastructure,Has the Participant established a BPCI Advanced Entity Agreement with a BPCI Advanced Entity?,Yes
