BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
2286-000,0.0,2286-000,,,
2286-000,0.1,"Orthopedic Centers of Colorado, LLC",,,
2286-000,1.0,No,3.0,4.0,12.0
2286-000,2.0,No,3.0,4.0,12.0
2286-000,3.0,No,1.0,3.0,3.0
2286-000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
2286-000,5.0,Yes,3.0,5.0,15.0
2286-000,6.0,Yes,3.0,6.0,18.0
2286-000,7.0,Unsure,2.0,4.0,8.0
2286-000,8.0,Neutral,2.0,4.0,8.0
2286-000,9.0,"Surgeon and case manager education for cost of care sites after discharge. Multiple hospital meetings to look at the date of surgery cost of care. Looking into other data source education for the balance of cost of care, patient choice, and quality.",,,
2286-000,10.0,No,1.0,6.0,6.0
2286-000,11.0,CJR continues to limit to total number of cases that would qualify under BPCI. That limits the full engagement of all partners into the value based arena.,,,
2286-000,12.0,Yes,1.0,3.0,3.0
2286-000,13.0,No,1.0,3.0,3.0
2286-000,14.0,No past challenges. But we are switching the entire organization to a single CHERT EMR over the next 12 months.,,,
2286-000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
2286-000,16.0,---,,,
2286-000,17.0,---,,,
2286-000,18.0,We are currently a non-convener participant.,,,
2286-000,19.0,Partial; establishing accounting system,2.0,7.0,14.0
2286-000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
2286-000,21.0,Unsure,2.0,3.0,6.0
2286-000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2286-000,23.0,,,,
2286-000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2286-000,25.0,,,,
2286-000,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
2286-000,27.0,We are new to the process and are only taking on the risk with our surgeons. No down stream financial arrangements.,,,
2286-000,28.0,No,1.0,5.0,5.0
2286-000,29.0,---,,,
2286-000,30.0,No,1.0,5.0,5.0
2286-000,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
2286-000,32.0,,,,
2286-000,33.0,In progress,2.0,7.0,14.0
2286-000,34.0,No,1.0,5.0,5.0
2286-000,35.0,NA; we don't use Fraud and Abuse Waivers,0.0,3.0,0.0
2286-000,36.0,No,1.0,5.0,5.0
2286-000,37.0,NA; we don't use MPP Waivers,0.0,5.0,0.0
2286-000,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
2286-000,39.0,NA; not using any of the waivers,0.0,6.0,0.0
2286-000,40.1,,,,
2286-000,40.2,,,,
2286-000,40.3,Yes,,,
2286-000,40.4,,,,
2286-000,40.5,,,,
2286-000,41.0,,,,
2286-000,42.0,Yes,1.0,3.0,3.0
2286-000,43.0,Yes,1.0,7.0,7.0
2286-000,44.0,Yes,1.0,5.0,5.0
2286-000,45.0,All BPCI data and files are kept on a secure Sharefile. The successor would be granted access to the share file if they become the designated representative.,,,
2286-000,46.1,,,,
2286-000,46.2,,,,
2286-000,46.3,,,,
2286-000,46.4,Yes,,,
2286-000,46.5,,,,
2286-000,47.0,,,,
2286-000,48.0,Yes,1.0,7.0,7.0
2286-000,49.0,,,,
2286-000,50.0,No,1.0,5.0,5.0
2286-000,51.0,,,,
2286-000,52.0,No,3.0,4.0,12.0
2286-000,53.0,Yes,3.0,4.0,12.0
2286-000,54.0,Harder to find success in the program than anticipated. CJR is limiting the patient numbers.,,,
2286-000,55.0,No,3.0,6.0,18.0
2286-000,56.0,,,,
2286-000,57.0,In progress,2.0,7.0,14.0
2286-000,58.0,Neutral,2.0,7.0,14.0
2286-000,59.0,No,1.0,4.0,4.0
2286-000,60.1,,,,
2286-000,60.2,,,,
2286-000,60.3,,,,
2286-000,60.4,,,,
2286-000,60.5,,,,
2286-000,60.6,,,,
2286-000,60.7,,,,
2286-000,60.8,Yes,,,
2286-000,61.0,Yes,1.0,7.0,7.0
2286-000,62.0,This requires significant work on rosters. The emails from BPCI are written more to a legal than a clinical audience. They are intimidating and discourage a desire to participate in the program.,,,
2286-000,63.0,Yes,1.0,7.0,7.0
2286-000,64.0,No,1.0,7.0,7.0
2286-000,65.0,,,,
