num,local,text,group,id
1,1,BPID,General Information,0
2,2,Participant Legal Name,General Information,0.1
3,1,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",Organization Legal or Identification Changes,1
4,2,"Have you reported these changes to CMS? [If your response to this question is ‘no’, please providewritten notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Please reference Article 3 ofthe Participation Agreement for instructions and other pertinent information.]",Organization Legal or Identification Changes,2
5,1,Please indicate how well the following statement applies: The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the 2020 Care Redesign.,Care Redesign Plan,3
6,2,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,Care Redesign Plan,4
7,3,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,Care Redesign Plan,5
8,4,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.",Care Redesign Plan,6
9,1,Please indicate how well the following statement applies: The Participant and its Participating Practitioners are using Certified Electronic Health Record Technology (CEHRT) in a manner sufficient to meet the applicable requirements of the Advanced Alternative Payment Model criteria under 42 C.F.R. § 414.1415(a)(1)(i).  ,CEHRT Use,7
10,2,Has the Participant had challenges meeting the CEHRT use requirements?,CEHRT Use,8
11,3,"Please use the comment box below to describe any challenges to meeting the CEHRT use requirements. [If no challenges identified, please type ‘None’ below.]",CEHRT Use,9
12,1,"Has the Participant established the required agreements with all Participating Practitioners? [Note: an agreement is required between a Participant (Conveners and Non-Conveners) and all Participating Practitioners, requiring Participating Practitioners to comply with all applicable terms and conditions of the Participation Agreement.]",Partner Agreements,10
13,2,"For Convener Participants: Has the Participant established agreements with all Downstream Episode Initiators (Acute Care Hospitals, PGPs), as required by the Participation Agreement?",Partner Agreements,11
14,3,"Has the Participant established processes, procedures and/or controls to validate and support monitoring of these agreements between the Participant and Participating Practitioners and Downstream Episode Initiators, as applicable, to ensure compliance with the terms and conditions of the Participation Agreement?",Partner Agreements,12
15,4,"Please use the comment box below to describe any challenges in implementing process and procedures to monitor agreements or in establishing agreements with partners. [If no challengesidentified, please type ‘None’ below.]",Partner Agreements,13
16,1,"Has the Participant set up an accounting system to be used, to measure and track NPRA received from CMS, Repayment Amounts and Excess Spending Amounts owed to CMS, and Administrative Services?",Financial / Programmatic Infrastructure,14
17,2,"Has the Participant implemented all BPCI Advanced required processes and procedures related to Financial Arrangements (NPRA Sharing and/or ICS contributions) under BPCI Advanced? [e.g., processes to verify compliance with all applicable laws and regulations and adherence to generally accepted accounting principles, compliance plan.]",Financial / Programmatic Infrastructure,15
18,3,Has the Participant fully established NPRA Sharing Arrangements with all NPRA Sharing Partners? ,Financial / Programmatic Infrastructure,16
19,4,"Please explain any barriers or challenges associated with: (1) implementing all BPCI Advanced required processes and procedures related to NPRA sharing and/or contributions of ICS and (2) establishing an NPRA Sharing Arrangement with all NPRA Sharing Partners. [If no barriers or challenges experienced to date, please type ‘None’ in the comment box provided.]",Financial / Programmatic Infrastructure,17
20,5,Has the Participant established a BPCI Advanced Entity Agreement with a BPCI Advanced Entity?,Financial / Programmatic Infrastructure,18
21,6,"Please describe key considerations that informed the Participant’s decision to either participate or not participate in Financial Arrangements (e.g., provider willingness to take on risk).",Financial / Programmatic Infrastructure,19
22,1,Please select the option that best describes the Participant’s participation in ICS sharing as it relates to BPCI Advanced?,Internal Cost Savings (ICS),20
23,2,Have NPRA Sharing Partners  realized and contributed ICS to the BPCI Advanced Savings Pool during the past 12 months?,Internal Cost Savings (ICS),21
24,3,Has the Participant shared any ICS contributions from BPCI Advanced Savings Pool during the past 12 months? ,Internal Cost Savings (ICS),22
25,4,Does the Participant plan to track and allow contribution of ICS associated with BPCI Advanced to the BPCI Advanced Savings Pool(s) in the next 12 months?,Internal Cost Savings (ICS),23
26,1,Please select the option that best describes the Participant’s  elections with respect to NPRA Sharing under BPCI Advanced?,Net Payment Reconciliation Amount (NPRA),24
27,2,Does the Participant plan to share NPRA under BPCI Advanced in the next 12 months? ,Net Payment Reconciliation Amount (NPRA),25
28,1,Has the Participant distributed NPRA Shared Payments to NPRA Sharing Partners during the past 12 months? ,NPRA Shared Payment / Repayment Amount,26
29,2,Has the NPRA Sharing Partner(s) distributed NPRA Shared Payments to NPRA Sharing Group Practice Practitioners during the past 12 months? ,NPRA Shared Payment / Repayment Amount,27
30,3,"Does the Participant require NPRA Sharing Partners to contribute a proportion of the Repayment Amount owed to CMS (i.e., Shared Repayment Amount) under BPCI Advanced?",NPRA Shared Payment / Repayment Amount,28
31,1,"Has the Participant completed an initial Compliance Plan? [Please upload a draft or final version of the Compliance Plan, if available, to the Monitoring and Compliance section of the Participant Portal. If your Compliance Plan includes multiple appendices, you can upload the main document only.]",Compliance Plan,29
32,2,"Please use the comment box below to explain any barriers or challenges to completing an initial Compliance Plan. Please explain the plan and timeline for completing the Compliance Plan if it is not completed. [If no barriers or challenges experienced in completing the Compliance Plan, please type ‘None’ in the comment box provided.]",Compliance Plan,30
33,1,"Has the Participant made changes to its selections with respect to the Fraud and Abuse Waivers since the submission of the Model Year (MY) 3 Participant Profile? (e.g., Participant did not elect to use Financial Arrangements and/or Beneficiary Incentive Waivers in the MY3 Participant Profile, but has since started using the waiver(s).)",Waivers (Fraud & Abuse and Medicare Payment Policy),31
34,2,"Has the Participant made changes to its selections with respect to the Medicare Payment Policy (MPP) Waivers since the submission of the MY3 Participant Profile? (e.g., Participant did not elect to use any of the MPP Waivers in the MY3 Participant Profile, but started using the waiver(s) recently.)",Waivers (Fraud & Abuse and Medicare Payment Policy),32
35,3,Has the Participant successfully operationalized use of the MPP Waiver(s) elected?,Waivers (Fraud & Abuse and Medicare Payment Policy),33
36,4,Has the Participant established a process for tracking waiver-related beneficiary claims activity after an Anchor Stay or Anchor Procedure in the BPCI Advanced Model and monitoring compliance with waiver requirements (Fraud and Abuse Waivers and/or Medicare Payment Policy Waivers)?,Waivers (Fraud & Abuse and Medicare Payment Policy),34
37,5,Attestation - Please select from the list below all of the strategies your organization has used to monitor compliance with waiver conditions.,Waivers (Fraud & Abuse and Medicare Payment Policy),35.1
38,5,Internal audit - Please select from the list below all of the strategies your organization has used to monitor compliance with waiver conditions.,Waivers (Fraud & Abuse and Medicare Payment Policy),35.2
39,5,Internal and/or external software reporting - Please select from the list below all of the strategies your organization has used to monitor compliance with waiver conditions.,Waivers (Fraud & Abuse and Medicare Payment Policy),35.3
40,5,NA - we have not elected to use any waivers - Please select from the list below all of the strategies your organization has used to monitor compliance with waiver conditions.,Waivers (Fraud & Abuse and Medicare Payment Policy),35.4
41,5,"NA - we have elected to use waivers, but have not yet established a process for monitoring compliance with waiver conditions - Please select from the list below all of the strategies your organization has used to monitor compliance with waiver conditions.",Waivers (Fraud & Abuse and Medicare Payment Policy),35.5
42,5,Other - Please select from the list below all of the strategies your organization has used to monitor compliance with waiver conditions.,Waivers (Fraud & Abuse and Medicare Payment Policy),35.6
43,6,"Please provide any comments on waiver use or ’Other’ strategies the Participant has used for tracking waiver-related beneficiary claims activity after an Anchor Stay or Anchor Procedure in the BPCI Advanced Model and monitoring compliance with waiver requirements in the comment box below. [If no comments on waiver use or ‘Other’ strategies used, please state ‘None’ or ‘NA'.]",Waivers (Fraud & Abuse and Medicare Payment Policy),36
44,1,"Has the Participant participated in the shared learning activities (e.g., webinars, emails, town hall meetings) in accordance with Article 14 of the Participation Agreement?",Participation in Shared learning Activities,37
45,1,Does the Participant have a process in place related to records management associated with BPCI Advanced Model?,Knowledge Management / Record Keeping / Succession Planning,38
46,2,Does the Participant have a succession plan in place for when individuals in management or individuals who oversee implementation of the BPCI Advanced model depart the organization?,Knowledge Management / Record Keeping / Succession Planning,39
47,3,"Please describe the process (i.e., succession plan) the Participant implements to transfer knowledge from the departing individual(s) to the replacement members of the BPCI Advanced team.",Knowledge Management / Record Keeping / Succession Planning,40
48,1,Emailed to beneficiaries - What is the primary communication channel(s) used to provide Beneficiary Notification Letter? Select all that apply. (Note: Beneficiaries need to receive the Beneficiary Notification letter prior to discharge from the Anchor Stay or Procedures.),Beneficiary Notification Letter,41.1
49,1,Mailed to the beneficiary's address - What is the primary communication channel(s) used to provide Beneficiary Notification Letter? Select all that apply. (Note: Beneficiaries need to receive the Beneficiary Notification letter prior to discharge from the Anchor Stay or Procedures.),Beneficiary Notification Letter,41.2
50,1,Provided to beneficiary during the Anchor Stay or Anchor Procedure - What is the primary communication channel(s) used to provide Beneficiary Notification Letter? Select all that apply. (Note: Beneficiaries need to receive the Beneficiary Notification letter prior to discharge from the Anchor Stay or Procedures.),Beneficiary Notification Letter,41.3
51,1,Provided during discharge procedures - What is the primary communication channel(s) used to provide Beneficiary Notification Letter? Select all that apply. (Note: Beneficiaries need to receive the Beneficiary Notification letter prior to discharge from the Anchor Stay or Procedures.),Beneficiary Notification Letter,41.4
52,1,Other - What is the primary communication channel(s) used to provide Beneficiary Notification Letter? Select all that apply. (Note: Beneficiaries need to receive the Beneficiary Notification letter prior to discharge from the Anchor Stay or Procedures.),Beneficiary Notification Letter,41.5
53,2,"Please describe any ‘Other’ communication channels used to provide the Beneficiary Notification Letter. [If no ‘Other’ communication channels used, please state ‘N/A.’]",Beneficiary Notification Letter,42
54,3,Does the Participant use the Beneficiary Notification Letter template provided by CMS? ,Beneficiary Notification Letter,43
55,4,"Please explain why the Participant does not use the Beneficiary Notification Letter template. [Note: Participants are required to use the CMS provided Beneficiary Notification Letter. If the template is currently used, please state ‘N/A’ in the comment box below.]",Beneficiary Notification Letter,44
56,5,Has provision of the Beneficiary Notification Letter of participation resulted in negative feedback from beneficiaries?  ,Beneficiary Notification Letter,45
57,6,"Please describe the primary beneficiary feedback related to the provision of the Beneficiary Notification Letter. [If no negative feedback identified, please state ‘N/A’ in the comment box below.]",Beneficiary Notification Letter,46
58,1,Has the Participant seen any better-than-expected positive outcomes associated with implementing BPCI Advanced?,BPCI Advanced Impact ,47
59,2,Has the Participant seen any unexpected negative outcomes associated with implementing BPCI Advanced?,BPCI Advanced Impact ,48
60,3,"Please describe any better-than-expected and/or unexpected negative outcomes associated with implementing BPCI Advanced. If selected “unsure” to the either of the two prior questions, please explain in the comment box below.",BPCI Advanced Impact ,49
61,4,"Has the Participant established a process for monitoring and mitigating unintended consequences (e.g., patient targeting/avoidance, inadequate or insufficient care, cost- shifting) associated with implementation of the BPCI Advanced model?",BPCI Advanced Impact ,50
62,5,"Please describe the Participant’s process for monitoring and mitigating unintended consequences. [If no process established yet, please state ‘N/A’ in the comment box below.]",BPCI Advanced Impact ,51
63,1,"Has the Participant implemented a system to request, track and respond to complaints made by BPCI Advanced Beneficiaries? [The complaint system does not have to be solely for beneficiaries in the BPCI Advanced Model. However, it must track complaints made by beneficiaries in the BPCI Advanced Model.]",Beneficiary Impact,52
64,2,Please indicate how well the following statement applies: The Participant believes the current complaint tracking system appropriately monitors and addresses complaints made by BPCI Advanced Beneficiaries?,Beneficiary Impact,53
65,3,Quality - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.1
66,3,Safety - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.2
67,3,Timing and Access - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.3
68,3,Communication - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.4
69,3,Compassion/Caring - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.5
70,3,Patient Rights - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.6
71,3,Other - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.7
72,3,NA; we have not received any complaints from beneficiaries - Please select the categories to which complaints the Participant has received from BPCI Advanced Beneficiaries align. Please select all that apply.,Beneficiary Impact,54.8
73,4,"Please describe any ‘Other’ categories of complaints the Participant has received from BPCI Advanced Beneficiaries. [If no ‘Other’ categories identified, please state ‘N/A’ in the comment box below.]",Beneficiary Impact,55
74,5,"Has the Participant received any complaints related to the established system for tracking beneficiary complaints? [E.g., a beneficiary complained that their complaint was not resolved quickly enough.]",Beneficiary Impact,56
75,1,Is there a designated person(s) for submitting BPCI Advanced required documentation to CMS?,Document Submission,57
76,2,Please describe any barriers or challenges associated with submitting required documentation in the comment box below.,Document Submission,58
77,3,Is there a designated person(s) for coordinating clinical document requests from the Participant and its Downstream Episode Initiators and other clinical partners?,Document Submission,59
78,1,"Is your organization or any of its BPCI Advanced partners under investigations or subject to sanctions that have not yet been reported to CMS? [If your response is ‘yes,’ please provide written notice of any unreported investigations and/or sanctions to CMS via email (BPCIAdvanced@cms.hhs.gov). Additional information is located under Article 13 of the Participation Agreement.]",Self-disclosed Investigations or Sanctions,60
79,1,"Please describe issues, challenges or barriers associated with implementation of the BPCI Advanced Model that have not being discussed above.",Other Issues Not Previously Listed,61
