BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1001-0000,0.0,1001-0000,,,
1001-0000,0.1,Putnam Hospital Center,,,
1001-0000,1.0,Yes,1.0,4.0,4.0
1001-0000,2.0,No,3.0,4.0,12.0
1001-0000,3.0,No,1.0,3.0,3.0
1001-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
1001-0000,5.0,Yes,3.0,5.0,15.0
1001-0000,6.0,Yes,3.0,6.0,18.0
1001-0000,7.0,No,1.0,4.0,4.0
1001-0000,8.0,Agree,1.0,4.0,4.0
1001-0000,9.0,Partnered with Heart Center physicians to improve care delivery plans for patients.Enhanced relationship with case management to determine optimal care settings for patients post-discharge,,,
1001-0000,10.0,No,1.0,6.0,6.0
1001-0000,11.0,"The enhanced relationship with case management has been a huge satisfier with both patients and clinicians.The data summaries from CMS are not helpful, as it includes patients who still have open claims.  It gives a false sense of good performance.",,,
1001-0000,12.0,Yes,1.0,3.0,3.0
1001-0000,13.0,No,1.0,3.0,3.0
1001-0000,14.0,n/a,,,
1001-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
1001-0000,16.0,No,3.0,7.0,21.0
1001-0000,17.0,No,3.0,7.0,21.0
1001-0000,18.0,n/a,,,
1001-0000,19.0,NA: System already in place before this model,0.0,7.0,0.0
1001-0000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
1001-0000,21.0,Yes,3.0,3.0,9.0
1001-0000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1001-0000,23.0,n/a,,,
1001-0000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1001-0000,25.0,n/a,,,
1001-0000,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
1001-0000,27.0,n/a,,,
1001-0000,28.0,No,1.0,5.0,5.0
1001-0000,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
1001-0000,30.0,No,1.0,5.0,5.0
1001-0000,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
1001-0000,32.0,n/a,,,
1001-0000,33.0,Yes,1.0,7.0,7.0
1001-0000,34.0,No,1.0,5.0,5.0
1001-0000,35.0,No,1.0,3.0,3.0
1001-0000,36.0,Yes,3.0,5.0,15.0
1001-0000,37.0,Yes,3.0,5.0,15.0
1001-0000,38.0,No,1.0,3.0,3.0
1001-0000,39.0,Yes,1.0,6.0,6.0
1001-0000,40.1,Yes,,,
1001-0000,40.2,Yes,,,
1001-0000,40.3,,,,
1001-0000,40.4,,,,
1001-0000,40.5,,,,
1001-0000,41.0,n/a,,,
1001-0000,42.0,Yes,1.0,3.0,3.0
1001-0000,43.0,Yes,1.0,7.0,7.0
1001-0000,44.0,Yes,1.0,5.0,5.0
1001-0000,45.0,We have multiple people identified as a succession plan if an individual leaves the organization.,,,
1001-0000,46.1,,,,
1001-0000,46.2,Yes,,,
1001-0000,46.3,Yes,,,
1001-0000,46.4,Yes,,,
1001-0000,46.5,,,,
1001-0000,47.0,n/a,,,
1001-0000,48.0,Yes,1.0,7.0,7.0
1001-0000,49.0,n/a,,,
1001-0000,50.0,No,1.0,5.0,5.0
1001-0000,51.0,n/a,,,
1001-0000,52.0,No,3.0,4.0,12.0
1001-0000,53.0,No,1.0,4.0,4.0
1001-0000,54.0,n/a,,,
1001-0000,55.0,Yes,1.0,6.0,6.0
1001-0000,56.0,"We closely monitor data to spot variation in performance.  To date, no variation has been noted.  We also have a robust complaints and grievances department who communicate findings regularly.  In addition, we have a very active and highly-utilized risk management database for staff to enter concerns or raise alarms.",,,
1001-0000,57.0,Yes; using existing system,1.0,7.0,7.0
1001-0000,58.0,Strongly Agree,1.0,7.0,7.0
1001-0000,59.0,No,1.0,4.0,4.0
1001-0000,60.1,,,,
1001-0000,60.2,,,,
1001-0000,60.3,,,,
1001-0000,60.4,,,,
1001-0000,60.5,,,,
1001-0000,60.6,,,,
1001-0000,60.7,,,,
1001-0000,60.8,Yes,,,
1001-0000,61.0,Yes,1.0,7.0,7.0
1001-0000,62.0,n/a,,,
1001-0000,63.0,Yes,1.0,7.0,7.0
1001-0000,64.0,No,1.0,7.0,7.0
1001-0000,65.0,n/a,,,
