BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1087-000,0.0,1087-000,,,
1087-000,0.1,"FirstHealth of the Carolinas, Inc. dba FirstHealth Moore Regional Hospital",,,
1087-000,1.0,Yes,1.0,4.0,4.0
1087-000,2.0,No,3.0,4.0,12.0
1087-000,3.0,No,1.0,3.0,3.0
1087-000,4.0,---,,,
1087-000,5.0,Yes,3.0,5.0,15.0
1087-000,6.0,Unsure,2.0,6.0,12.0
1087-000,7.0,No,1.0,4.0,4.0
1087-000,8.0,Agree,1.0,4.0,4.0
1087-000,9.0,Care Navigator hired and trained.  Multidisciplinary team formed and meets monthly.   Clinical Documentation Specialists hired to assist providers with appropriate documentation.  Phone Calls made post-discharge to ensure all needs are met.   Home Health agencies trained to specific protocols for CABG patients.,,,
1087-000,10.0,No,1.0,6.0,6.0
1087-000,11.0,The biggest barrier or challenge has been getting the patients to use MY CHART.  Patients either do not have access to internet or computers.   Many patients do not know how to use.   Another challenge has been ensuring the patients call the navigator or PA on call before coming to ED.,,,
1087-000,12.0,Yes,1.0,3.0,3.0
1087-000,13.0,No,1.0,3.0,3.0
1087-000,14.0,,,,
1087-000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
1087-000,16.0,No,3.0,7.0,21.0
1087-000,17.0,No,3.0,7.0,21.0
1087-000,18.0,There have not been any.,,,
1087-000,19.0,Yes,1.0,7.0,7.0
1087-000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
1087-000,21.0,Unsure,2.0,3.0,6.0
1087-000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1087-000,23.0,,,,
1087-000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1087-000,25.0,,,,
1087-000,26.0,No,3.0,7.0,21.0
1087-000,27.0,,,,
1087-000,28.0,No,1.0,5.0,5.0
1087-000,29.0,---,,,
1087-000,30.0,No,1.0,5.0,5.0
1087-000,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
1087-000,32.0,,,,
1087-000,33.0,Yes,1.0,7.0,7.0
1087-000,34.0,No,1.0,5.0,5.0
1087-000,35.0,NA; we don't use Fraud and Abuse Waivers,0.0,3.0,0.0
1087-000,36.0,No,1.0,5.0,5.0
1087-000,37.0,NA; we don't use MPP Waivers,0.0,5.0,0.0
1087-000,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
1087-000,39.0,NA; not using any of the waivers,0.0,6.0,0.0
1087-000,40.1,,,,
1087-000,40.2,,,,
1087-000,40.3,,,,
1087-000,40.4,Yes,,,
1087-000,40.5,,,,
1087-000,41.0,,,,
1087-000,42.0,Yes,1.0,3.0,3.0
1087-000,43.0,Yes,1.0,7.0,7.0
1087-000,44.0,Yes,1.0,5.0,5.0
1087-000,45.0,We make sure we have at least two people trained on processes so if something happens to one person; the other person can slip in.,,,
1087-000,46.1,Yes,,,
1087-000,46.2,Yes,,,
1087-000,46.3,Yes,,,
1087-000,46.4,Yes,,,
1087-000,46.5,,,,
1087-000,47.0,"For the elective CABG we provide the notification in office.  For the non-elective we try and provide to patient during the hospitalization.  If not, we mail to the beneficiary.",,,
1087-000,48.0,Yes,1.0,7.0,7.0
1087-000,49.0,,,,
1087-000,50.0,No,1.0,5.0,5.0
1087-000,51.0,,,,
1087-000,52.0,Unsure,2.0,4.0,8.0
1087-000,53.0,No,1.0,4.0,4.0
1087-000,54.0,,,,
1087-000,55.0,Yes,1.0,6.0,6.0
1087-000,56.0,We follow every patient and discuss to ensure that the patient is coded correctly and that the correct documentation is provided by the provider.,,,
1087-000,57.0,Yes; using existing system,1.0,7.0,7.0
1087-000,58.0,Strongly Agree,1.0,7.0,7.0
1087-000,59.0,No,1.0,4.0,4.0
1087-000,60.1,,,,
1087-000,60.2,,,,
1087-000,60.3,,,,
1087-000,60.4,,,,
1087-000,60.5,,,,
1087-000,60.6,,,,
1087-000,60.7,,,,
1087-000,60.8,,,,
1087-000,61.0,Yes,1.0,7.0,7.0
1087-000,62.0,The biggest challenge is the number of emails that come.   Sometimes it is difficult to determine if the email applies.    The number of times the forms change has also been a challenge.,,,
1087-000,63.0,Yes,1.0,7.0,7.0
1087-000,64.0,No,1.0,7.0,7.0
1087-000,65.0,1.  Getting the patients to use a patient portal has been a challenge with the elderly.,,,
