BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1120-0000,0.0,1120-0000,,,
1120-0000,0.1,"Gundersen Lutheran Medical Center, Inc.",,,
1120-0000,1.0,No,3.0,4.0,12.0
1120-0000,2.0,Yes,1.0,4.0,4.0
1120-0000,3.0,No,1.0,3.0,3.0
1120-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
1120-0000,5.0,No,1.0,5.0,5.0
1120-0000,6.0,Yes,3.0,6.0,18.0
1120-0000,7.0,Yes,3.0,4.0,12.0
1120-0000,8.0,Agree,1.0,4.0,4.0
1120-0000,9.0,"Hip Fractures: Working on standardizing care pathway across the care continuum, including engaging PAC partners in driving quality and outcomes. Initial meetings with PAC partners have taken place (3 meetings x 2 partners) to launch into this work. Hip Fracture care pathway mapping and redesign project has launched. Hip Fracture care pathway updates are a standard item on our multidisciplinary team monthly meeting and we are engaging hospitalist/medicine partners in standardization and efficiency opportunities, including (not limited to) approach to endocrinology follow up, PT/OT protocols, and medication management.Shoulders: Working on standardizing care pathway across the care continuum. Engaging shoulder teams in developing consistent pre-op patient education and optimization pathway. Reviewing outliers for opportunities for improvement.",,,
1120-0000,10.0,No,1.0,6.0,6.0
1120-0000,11.0,Challenges: Limited HHA access in our region and no affiliated HHA as part of our system. Limited control over PAC setting other than driving improvement through partnerships.,,,
1120-0000,12.0,Yes,1.0,3.0,3.0
1120-0000,13.0,No,1.0,3.0,3.0
1120-0000,14.0,,,,
1120-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
1120-0000,16.0,Yes,1.0,7.0,7.0
1120-0000,17.0,Yes,1.0,7.0,7.0
1120-0000,18.0,,,,
1120-0000,19.0,NA: System already in place before this model,0.0,7.0,0.0
1120-0000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
1120-0000,21.0,Unsure,2.0,3.0,6.0
1120-0000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1120-0000,23.0,,,,
1120-0000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1120-0000,25.0,,,,
1120-0000,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
1120-0000,27.0,,,,
1120-0000,28.0,No,1.0,5.0,5.0
1120-0000,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
1120-0000,30.0,No,1.0,5.0,5.0
1120-0000,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
1120-0000,32.0,,,,
1120-0000,33.0,Yes,1.0,7.0,7.0
1120-0000,34.0,No,1.0,5.0,5.0
1120-0000,35.0,NA; we don't use Fraud and Abuse Waivers,0.0,3.0,0.0
1120-0000,36.0,No,1.0,5.0,5.0
1120-0000,37.0,NA; we don't use MPP Waivers,0.0,5.0,0.0
1120-0000,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
1120-0000,39.0,NA; not using any of the waivers,0.0,6.0,0.0
1120-0000,40.1,,,,
1120-0000,40.2,,,,
1120-0000,40.3,Yes,,,
1120-0000,40.4,,,,
1120-0000,40.5,,,,
1120-0000,41.0,,,,
1120-0000,42.0,Yes,1.0,3.0,3.0
1120-0000,43.0,Yes,1.0,7.0,7.0
1120-0000,44.0,Yes,1.0,5.0,5.0
1120-0000,45.0,The responsibilities stay with the role of the individuals on the BPCI-A Governance Committee.,,,
1120-0000,46.1,,,,
1120-0000,46.2,,,,
1120-0000,46.3,Yes,,,
1120-0000,46.4,,,,
1120-0000,46.5,,,,
1120-0000,47.0,,,,
1120-0000,48.0,Yes,1.0,7.0,7.0
1120-0000,49.0,,,,
1120-0000,50.0,No,1.0,5.0,5.0
1120-0000,51.0,,,,
1120-0000,52.0,Yes,1.0,4.0,4.0
1120-0000,53.0,No,1.0,4.0,4.0
1120-0000,54.0,"Improved collaboration between our Clinical Operations, Quality, and Revenue Cycle departments.",,,
1120-0000,55.0,No,3.0,6.0,18.0
1120-0000,56.0,,,,
1120-0000,57.0,Yes; using existing system,1.0,7.0,7.0
1120-0000,58.0,Strongly Agree,1.0,7.0,7.0
1120-0000,59.0,No,1.0,4.0,4.0
1120-0000,60.1,,,,
1120-0000,60.2,,,,
1120-0000,60.3,,,,
1120-0000,60.4,,,,
1120-0000,60.5,,,,
1120-0000,60.6,,,,
1120-0000,60.7,,,,
1120-0000,60.8,Yes,,,
1120-0000,61.0,Yes,1.0,7.0,7.0
1120-0000,62.0,,,,
1120-0000,63.0,Yes,1.0,7.0,7.0
1120-0000,64.0,No,1.0,7.0,7.0
1120-0000,65.0,,,,
