BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1191,0.0,1191,,,
1191,0.1,"Integrated Care Solutions, LLC",,,
1191,1.0,Yes,1.0,4.0,4.0
1191,2.0,Yes,1.0,4.0,4.0
1191,3.0,No,1.0,3.0,3.0
1191,4.0,NA; we didn't have any changes,0.0,7.0,0.0
1191,5.0,No,1.0,5.0,5.0
1191,6.0,Unsure,2.0,6.0,12.0
1191,7.0,Unsure,2.0,4.0,8.0
1191,8.0,Strongly Agree,1.0,4.0,4.0
1191,9.0,"ICS combines a people-driven and technology-driven care coordination model to redesign care. The primary priority for implementation has been a significant investment in a technology product which ICS has built from scratch to enable, optimize and improve the nurses in the field who are actively managing patients and working alongside care teams. Secondly, ICS continues to enhance our clinical assessments and risk assessments to enable auto-populated 90-day care plans that are based on evidence-based guidelines, symptoms management/identification and expected outcomes - there has been significant enhancements to the clinical care model and 90-day care plans in 2019. Finally, ICS works closely with hospital(s) to transform the hospital discharge planning process which is an ongoing effort and involves everything from determining optimal first PAC setting of care to ensuring patients are treated in the highest quality providers in the market.",,,
1191,10.0,No,1.0,6.0,6.0
1191,11.0,"ICS BPID 1191 experienced a significant change in practicing hospital by our PGP partners shifting almost completely from one hospital provider to another during BPCI-A implementation. This has required significant operational and implementation effort to bring the new hospital leadership and key physicians onboard with the BPCI-A program and meaningfully engage in care redesign efforts. Additionally, this has resulted in unknown target prices given this change throughout the performance period, leaving ICS with a significant ""blindspot"" around projected results via the monthly claims files received to date.",,,
1191,12.0,Yes,1.0,3.0,3.0
1191,13.0,No,1.0,3.0,3.0
1191,14.0,NA,,,
1191,15.0,Yes,1.0,7.0,7.0
1191,16.0,Yes,1.0,7.0,7.0
1191,17.0,Yes,1.0,7.0,7.0
1191,18.0,"ICS has experienced no challenges in implementing process and procdures monitor agreements. However, to establish agreements ICS partners closely with our outside legal counsel, McDermott Will & Emery LLP (MWE) who has significant BPCI and BPCI-A experience to ensure all agreements meet all requirements of the program and other applicable federal regulations. MWE currently drafts all applicable agreements within the BPCI-A program for ICS.",,,
1191,19.0,Partial; establishing accounting system,2.0,7.0,14.0
1191,20.0,Yes,3.0,5.0,15.0
1191,21.0,NA; already in a financial arrangement(s),0.0,3.0,0.0
1191,22.0,Yes,1.0,7.0,7.0
1191,23.0,"ICS partners closely with our outside legal counsel, McDermott Will & Emery LLP (MWE) who has significant BPCI and BPCI-A experience to ensure all agreements meet all requirements of the program and other applicable federal regulations. MWE currently drafts all applicable agreements within the BPCI-A program for ICS.  Additionally, ICS has invested in internal data & analytics functions which continue to be enhanced to ensure proper calculations of NPRA, NPRA sharing and other program outcomes. ICS also partners with Milliman who processes all ICS claims files and NPRA files. ICS is currently working with Milliman on a process to audit and verify NPRA sharing calculations since the first BPCI-A NPRA has not occurred as of yet.",,,
1191,24.0,Yes,1.0,7.0,7.0
1191,25.0,NA,,,
1191,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
1191,27.0,"ICS believes strongly in the aligned incentives motivators under AAPMs such as BPCI-A. Therefore, we believe two-sided risk is a key value provided under these models and lends credibility to our role as a convener. Related, we believe properly incentivizing our downstream partners to improve performance and directly connecting financial reward to that improved performance yields overall better outcomes for patients. We fully align with our partners through NPRA sharing agreements which recognize the unique and direct role each individual partner plays in specific areas of care redesign which is tied to well-defined metrics under each of our direct influence.",,,
1191,28.0,No,1.0,5.0,5.0
1191,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
1191,30.0,Yes,3.0,5.0,15.0
1191,31.0,Yes,1.0,7.0,7.0
1191,32.0,"ICS partners closely with our outside legal counsel, McDermott Will & Emery LLP (MWE) who has significant BPCI and BPCI-A experience to ensure all agreements meet all requirements of the program and other applicable federal regulations. MWE currently drafts all applicable agreements within the BPCI-A program for ICS.  Additionally, ICS has invested in internal data & analytics functions which continue to be enhanced to ensure proper calculations of NPRA, NPRA sharing and other program outcomes. ICS also partners with Milliman who processes all ICS claims files and NPRA files. ICS is currently working with Milliman on a process to audit and verify NPRA sharing calculations since the first BPCI-A NPRA has not occurred as of yet.",,,
1191,33.0,Yes,1.0,7.0,7.0
1191,34.0,Yes,3.0,5.0,15.0
1191,35.0,No,1.0,3.0,3.0
1191,36.0,Yes,3.0,5.0,15.0
1191,37.0,No,1.0,5.0,5.0
1191,38.0,No,1.0,3.0,3.0
