BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1749,0.0,1749,,,
1749,0.1,Catholic Medical Center,,,
1749,1.0,No,3.0,4.0,12.0
1749,2.0,Yes,1.0,4.0,4.0
1749,3.0,No,1.0,3.0,3.0
1749,4.0,NA; we didn't have any changes,0.0,7.0,0.0
1749,5.0,No,1.0,5.0,5.0
1749,6.0,Unsure,2.0,6.0,12.0
1749,7.0,Unsure,2.0,4.0,8.0
1749,8.0,Neutral,2.0,4.0,8.0
1749,9.0,"Our organization is doing ok with the Care Redesign.It is moving a bit slower than expected,and it is because we should have involved our hospitalist team sooner than we did. We met with them in August, and have a follow-up this week, so I am hopeful we can incorporate their thoughts/ideas.",,,
1749,10.0,No,1.0,6.0,6.0
1749,11.0,"Barriers for us has really been change in duties for the person overseeing the program. I think we would benefit from more dedicated time to truly analyze alternatives to care redesign. Overall, it is going ok.",,,
1749,12.0,Unsure,2.0,3.0,6.0
1749,13.0,Yes,3.0,3.0,9.0
1749,14.0,"We are in the process of an implementation at this very moment. Our hospital side went live on 7/19/2019 and our ambulatory side is going live in late Fall. This was pushed back due to the challenges of the hospital implementation. Hard to describe what the exact challenges are except that items that tasks/workflows that were ok in testing, are not coming out ok in production. We have a dedicated team working on the issues.",,,
1749,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
1749,16.0,---,,,
1749,17.0,---,,,
1749,18.0,We are a non-convener applicant.,,,
1749,19.0,No,3.0,7.0,21.0
1749,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
1749,21.0,No,1.0,3.0,3.0
1749,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1749,23.0,,,,
1749,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1749,25.0,,,,
1749,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
1749,27.0,,,,
1749,28.0,No,1.0,5.0,5.0
1749,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
1749,30.0,No,1.0,5.0,5.0
1749,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
1749,32.0,,,,
1749,33.0,In progress,2.0,7.0,14.0
1749,34.0,No,1.0,5.0,5.0
1749,35.0,NA; we don't use Fraud and Abuse Waivers,0.0,3.0,0.0
1749,36.0,No,1.0,5.0,5.0
1749,37.0,---,,,
1749,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
1749,39.0,NA; not using any of the waivers,0.0,6.0,0.0
1749,40.1,,,,
1749,40.2,,,,
1749,40.3,Yes,,,
1749,40.4,,,,
1749,40.5,,,,
1749,41.0,,,,
1749,42.0,Yes,1.0,3.0,3.0
1749,43.0,No,3.0,7.0,21.0
1749,44.0,No,3.0,5.0,15.0
1749,45.0,,,,
1749,46.1,,,,
1749,46.2,,,,
1749,46.3,Yes,,,
1749,46.4,Yes,,,
1749,46.5,,,,
1749,47.0,,,,
1749,48.0,Yes,1.0,7.0,7.0
1749,49.0,,,,
1749,50.0,No,1.0,5.0,5.0
1749,51.0,,,,
1749,52.0,Unsure,2.0,4.0,8.0
1749,53.0,No,1.0,4.0,4.0
1749,54.0,,,,
1749,55.0,No,3.0,6.0,18.0
1749,56.0,,,,
1749,57.0,Yes; using existing system,1.0,7.0,7.0
1749,58.0,Agree,1.0,7.0,7.0
1749,59.0,No,1.0,4.0,4.0
1749,60.1,,,,
1749,60.2,,,,
1749,60.3,,,,
1749,60.4,,,,
1749,60.5,,,,
1749,60.6,,,,
1749,60.7,,,,
1749,60.8,Yes,,,
1749,61.0,Yes,1.0,7.0,7.0
1749,62.0,Time,,,
1749,63.0,No,3.0,7.0,21.0
1749,64.0,No,1.0,7.0,7.0
1749,65.0,,,,
