BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
1789-0001,0.0,1789-0001,,,
1789-0001,0.1,Penn State Health,,,
1789-0001,1.0,Yes,1.0,4.0,4.0
1789-0001,2.0,Yes,1.0,4.0,4.0
1789-0001,3.0,No,1.0,3.0,3.0
1789-0001,4.0,NA; we didn't have any changes,0.0,7.0,0.0
1789-0001,5.0,No,1.0,5.0,5.0
1789-0001,6.0,No,1.0,6.0,6.0
1789-0001,7.0,Yes,3.0,4.0,12.0
1789-0001,8.0,Agree,1.0,4.0,4.0
1789-0001,9.0,"We have implemented spinal fusion patient dashboards using internal clinical and billing data and merged this data set with CMS raw historical and monthly claims data.  These data were central to redesigning transitional care pathways.  Stakeholders and care teams within the Spinal Fusion Episode of Care Team have implemented pathways to ensure more accurate and timely information around discharge, enabling the Transition of Care teams to plan for appropriate care needs post-discharge.",,,
1789-0001,10.0,No,1.0,6.0,6.0
1789-0001,11.0,"As anticipated we uncovered variations with patient education and care team discharge planning.  The creation of the Spinal Fusion Episode of Care team comprised of surgeons, MSHMC transitional care team, post-acute care admin, , nurses, social workers, and therapists has helped establish core principals to reduce variations across the two service lines that care for this patient population.  PSH and MSHMC have begun testing the impact of the multidisciplinary care protocols for all spinal fusion (non-cervical) patients and recently have seen changes in discharge disposition rates in performance period two.",,,
1789-0001,12.0,Yes,1.0,3.0,3.0
1789-0001,13.0,No,1.0,3.0,3.0
1789-0001,14.0,None,,,
1789-0001,15.0,Yes,1.0,7.0,7.0
1789-0001,16.0,No,3.0,7.0,21.0
1789-0001,17.0,No,3.0,7.0,21.0
1789-0001,18.0,None,,,
1789-0001,19.0,NA: System already in place before this model,0.0,7.0,0.0
1789-0001,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
1789-0001,21.0,No,1.0,3.0,3.0
1789-0001,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1789-0001,23.0,NA,,,
1789-0001,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
1789-0001,25.0,NA,,,
1789-0001,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
1789-0001,27.0,NA,,,
1789-0001,28.0,No,1.0,5.0,5.0
1789-0001,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
1789-0001,30.0,No,1.0,5.0,5.0
1789-0001,31.0,No,3.0,7.0,21.0
1789-0001,32.0,NA,,,
1789-0001,33.0,Yes,1.0,7.0,7.0
1789-0001,34.0,No,1.0,5.0,5.0
1789-0001,35.0,NA; we don't use Fraud and Abuse Waivers,0.0,3.0,0.0
1789-0001,36.0,No,1.0,5.0,5.0
1789-0001,37.0,NA; we don't use MPP Waivers,0.0,5.0,0.0
1789-0001,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
1789-0001,39.0,NA; not using any of the waivers,0.0,6.0,0.0
1789-0001,40.1,,,,
1789-0001,40.2,,,,
1789-0001,40.3,,,,
1789-0001,40.4,,,,
1789-0001,40.5,,,,
1789-0001,41.0,NA,,,
1789-0001,42.0,No,3.0,3.0,9.0
1789-0001,43.0,Yes,1.0,7.0,7.0
1789-0001,44.0,No,3.0,5.0,15.0
1789-0001,45.0,NA,,,
1789-0001,46.1,,,,
1789-0001,46.2,,,,
1789-0001,46.3,Yes,,,
1789-0001,46.4,Yes,,,
1789-0001,46.5,,,,
1789-0001,47.0,NA,,,
1789-0001,48.0,Yes,1.0,7.0,7.0
1789-0001,49.0,NA,,,
1789-0001,50.0,No,1.0,5.0,5.0
1789-0001,51.0,NA,,,
1789-0001,52.0,Yes,1.0,4.0,4.0
1789-0001,53.0,No,1.0,4.0,4.0
1789-0001,54.0,The providers have a better understanding of the cost of care and have become more engaged in the coordination of care from pre-op through post-discharge.,,,
1789-0001,55.0,No,3.0,6.0,18.0
1789-0001,56.0,NA,,,
1789-0001,57.0,Yes; using existing system,1.0,7.0,7.0
1789-0001,58.0,Agree,1.0,7.0,7.0
1789-0001,59.0,No,1.0,4.0,4.0
1789-0001,60.1,,,,
1789-0001,60.2,,,,
1789-0001,60.3,Yes,,,
1789-0001,60.4,,,,
1789-0001,60.5,Yes,,,
1789-0001,60.6,,,,
1789-0001,60.7,,,,
1789-0001,60.8,,,,
1789-0001,61.0,Yes,1.0,7.0,7.0
1789-0001,62.0,There have been no barriers or challenges.,,,
1789-0001,63.0,Yes,1.0,7.0,7.0
1789-0001,64.0,No,1.0,7.0,7.0
1789-0001,65.0,None,,,
