BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
2587-0000,0.0,2587-0000,,,
2587-0000,0.1,The Cooper Health System a New Jersey nonprofit corporation,,,
2587-0000,1.0,Yes,1.0,4.0,4.0
2587-0000,2.0,Yes,1.0,4.0,4.0
2587-0000,3.0,No,1.0,3.0,3.0
2587-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
2587-0000,5.0,No,1.0,5.0,5.0
2587-0000,6.0,Yes,3.0,6.0,18.0
2587-0000,7.0,Yes,3.0,4.0,12.0
2587-0000,8.0,Agree,1.0,4.0,4.0
2587-0000,9.0,"Our organization has reviewed patient outcomes and gaps, evaluated opportunities, initiated plans, and implement processes to close gaps. We continue to identify opportunities and work on improving our current systems.",,,
2587-0000,10.0,No,1.0,6.0,6.0
2587-0000,11.0,"Our successes include:-Training our care coordinators in disease education and social determinants of health.-Offering clinical education and community resources to our patients, which is stored in a computer shared drive.-Contacting Cooper specialists on patients' behalf when needed.-Transportation contract in place specifically for the BPCI program, offering transportation assistance if needed.",,,
2587-0000,12.0,Yes,1.0,3.0,3.0
2587-0000,13.0,No,1.0,3.0,3.0
2587-0000,14.0,None.,,,
2587-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
2587-0000,16.0,Yes,1.0,7.0,7.0
2587-0000,17.0,Yes,1.0,7.0,7.0
2587-0000,18.0,None.,,,
2587-0000,19.0,Yes,1.0,7.0,7.0
2587-0000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
2587-0000,21.0,Unsure,2.0,3.0,6.0
2587-0000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2587-0000,23.0,,,,
2587-0000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
2587-0000,25.0,,,,
2587-0000,26.0,No,3.0,7.0,21.0
2587-0000,27.0,NPRA sharing is not a top priority for Cooper at this time.,,,
2587-0000,28.0,No,1.0,5.0,5.0
2587-0000,29.0,No,3.0,7.0,21.0
2587-0000,30.0,No,1.0,5.0,5.0
2587-0000,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
2587-0000,32.0,,,,
2587-0000,33.0,Yes,1.0,7.0,7.0
2587-0000,34.0,No,1.0,5.0,5.0
2587-0000,35.0,No,1.0,3.0,3.0
2587-0000,36.0,No,1.0,5.0,5.0
2587-0000,37.0,NA; we don't use MPP Waivers,0.0,5.0,0.0
2587-0000,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
2587-0000,39.0,NA; not using any of the waivers,0.0,6.0,0.0
2587-0000,40.1,,,,
2587-0000,40.2,,,,
2587-0000,40.3,Yes,,,
2587-0000,40.4,,,,
2587-0000,40.5,,,,
2587-0000,41.0,,,,
2587-0000,42.0,Yes,1.0,3.0,3.0
2587-0000,43.0,Yes,1.0,7.0,7.0
2587-0000,44.0,Yes,1.0,5.0,5.0
2587-0000,45.0,"BPCI related processes and procedures are uploaded to our internal policy network, and stored on a computer shared drive. We're consulting with Premier and have an internal Steering Committee.",,,
2587-0000,46.1,,,,
2587-0000,46.2,Yes,,,
2587-0000,46.3,Yes,,,
2587-0000,46.4,,,,
2587-0000,46.5,,,,
2587-0000,47.0,,,,
2587-0000,48.0,Yes,1.0,7.0,7.0
2587-0000,49.0,,,,
2587-0000,50.0,No,1.0,5.0,5.0
2587-0000,51.0,,,,
2587-0000,52.0,Yes,1.0,4.0,4.0
2587-0000,53.0,Yes,3.0,4.0,12.0
2587-0000,54.0,"Unexpected positive outcomes include increased patient engagement, feedback on patient outcomes, and the opportunity to improve quality measures based on those outcomes.Unexpected negative outcomes include difficulty with non claims-based quality measures, delayed data, establishing work flows in EMR for quality tracking, and no live contact or phone number to contact CMS specifically for the BPCI program.",,,
2587-0000,55.0,Yes,1.0,6.0,6.0
2587-0000,56.0,"-We currently do not participate in NPRA sharing, or have financial incentives for our providers through the BPCI.-RNs perform clinical chart audits for BPCI readmissions regularly to identify avoidable readmissions and escalate concerns.-EARS reporting system is available for all clinical staff at Cooper.",,,
2587-0000,57.0,Yes; using new system,1.0,7.0,7.0
2587-0000,58.0,Agree,1.0,7.0,7.0
2587-0000,59.0,No,1.0,4.0,4.0
2587-0000,60.1,,,,
2587-0000,60.2,,,,
2587-0000,60.3,,,,
2587-0000,60.4,,,,
2587-0000,60.5,,,,
2587-0000,60.6,,,,
2587-0000,60.7,,,,
2587-0000,60.8,Yes,,,
2587-0000,61.0,Yes,1.0,7.0,7.0
2587-0000,62.0,Delayed responses by CMS e-mail regarding questions about required documents.,,,
2587-0000,63.0,Yes,1.0,7.0,7.0
2587-0000,64.0,No,1.0,7.0,7.0
2587-0000,65.0,"There is no contact person at CMS to facilitate issues, call, or provide quick responses. Our only form of communication with CMS is the BPCI e-mail.",,,
