BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
3254-0000,0.0,3254-0000,,,
3254-0000,0.1,"Hospitalist Medicine Physicians of Texas - El Paso, PLLC",,,
3254-0000,1.0,Yes,1.0,4.0,4.0
3254-0000,2.0,Yes,1.0,4.0,4.0
3254-0000,3.0,No,1.0,3.0,3.0
3254-0000,4.0,NA; we didn't have any changes,0.0,7.0,0.0
3254-0000,5.0,Yes,3.0,5.0,15.0
3254-0000,6.0,Unsure,2.0,6.0,12.0
3254-0000,7.0,Unsure,2.0,4.0,8.0
3254-0000,8.0,Strongly Agree,1.0,4.0,4.0
3254-0000,9.0,"With much of our care redesign already in place prior to the launch of BPCIA, our high priorities were limited to the introduction of telehealth, patient level coordination with PCPs, and clinical and administrative staff engagement.  All three of these initiatives are launched within a portion of our at risk sites with plans for expansion. We feel well on our way to achieving these high priority goals as intended.",,,
3254-0000,10.0,No,1.0,6.0,6.0
3254-0000,11.0,No challenges to report.  We have had increased success at implementing our care redesign interventions at new sites thanks to a streamlined new site implementation process that heavily focuses on the fundamentals of BPCIA.,,,
3254-0000,12.0,Yes,1.0,3.0,3.0
3254-0000,13.0,No,1.0,3.0,3.0
3254-0000,14.0,NA,,,
3254-0000,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
3254-0000,16.0,Yes,1.0,7.0,7.0
3254-0000,17.0,Yes,1.0,7.0,7.0
3254-0000,18.0,NA,,,
3254-0000,19.0,Yes,1.0,7.0,7.0
3254-0000,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
3254-0000,21.0,Unsure,2.0,3.0,6.0
3254-0000,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
3254-0000,23.0,,,,
3254-0000,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
3254-0000,25.0,,,,
3254-0000,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
3254-0000,27.0,NA,,,
3254-0000,28.0,No,1.0,5.0,5.0
3254-0000,29.0,NA; we don't participate in ICS Sharing,0.0,7.0,0.0
3254-0000,30.0,No,1.0,5.0,5.0
3254-0000,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
3254-0000,32.0,,,,
3254-0000,33.0,Yes,1.0,7.0,7.0
3254-0000,34.0,Yes,3.0,5.0,15.0
3254-0000,35.0,No,1.0,3.0,3.0
3254-0000,36.0,Yes,3.0,5.0,15.0
3254-0000,37.0,NA; we don't use MPP Waivers,0.0,5.0,0.0
3254-0000,38.0,NA; we don't use MPP Waivers,0.0,3.0,0.0
3254-0000,39.0,NA; not using any of the waivers,0.0,6.0,0.0
3254-0000,40.1,,,,
3254-0000,40.2,,,,
3254-0000,40.3,Yes,,,
3254-0000,40.4,,,,
3254-0000,40.5,,,,
3254-0000,41.0,,,,
3254-0000,42.0,Yes,1.0,3.0,3.0
3254-0000,43.0,Yes,1.0,7.0,7.0
