BPCI ID,ID,Response,Response Weight,Risk Level,Risk Score
5107-0001,0.0,5107-0001,,,
5107-0001,0.1,"Flagstaff Medical Center, Inc",,,
5107-0001,1.0,Yes,1.0,4.0,4.0
5107-0001,2.0,Yes,1.0,4.0,4.0
5107-0001,3.0,No,1.0,3.0,3.0
5107-0001,4.0,---,,,
5107-0001,5.0,No,1.0,5.0,5.0
5107-0001,6.0,Unsure,2.0,6.0,12.0
5107-0001,7.0,Unsure,2.0,4.0,8.0
5107-0001,8.0,Agree,1.0,4.0,4.0
5107-0001,9.0,"While in our care redesign plan we identified that most areas we already had interventions ""in place."" We continuously monitor and re-asses our care delivery through regular meetings with stakeholders. Two significant achievements have been establishing a dedicated RN navigator to these patients, and both provider and community education on advance care planning.",,,
5107-0001,10.0,Yes,3.0,6.0,18.0
5107-0001,11.0,Discharge destination planning is a challenge to make further improvements on as we have capacity and access issues in our market.,,,
5107-0001,12.0,Yes,1.0,3.0,3.0
5107-0001,13.0,No,1.0,3.0,3.0
5107-0001,14.0,,,,
5107-0001,15.0,NA; we are a Non-Convener Participant,0.0,7.0,0.0
5107-0001,16.0,No,3.0,7.0,21.0
5107-0001,17.0,No,3.0,7.0,21.0
5107-0001,18.0,We have not entered into any agreements with practitioners at this time. There has been significant movement of medical staff in the last two years and need to finalize who our provider partners will be moving forward.,,,
5107-0001,19.0,Yes,1.0,7.0,7.0
5107-0001,20.0,NA; never participated in financial arrangements,0.0,5.0,0.0
5107-0001,21.0,Unsure,2.0,3.0,6.0
5107-0001,22.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
5107-0001,23.0,,,,
5107-0001,24.0,NA; we don't participate in NPRA Sharing,0.0,7.0,0.0
5107-0001,25.0,,,,
5107-0001,26.0,NA; we don't have relationship with a BPCI Advanced Entity,0.0,7.0,0.0
5107-0001,27.0,,,,
5107-0001,28.0,No,1.0,5.0,5.0
5107-0001,29.0,---,,,
5107-0001,30.0,No,1.0,5.0,5.0
5107-0001,31.0,NA; not requiring shared repayments by partners,0.0,7.0,0.0
5107-0001,32.0,,,,
5107-0001,33.0,In progress,2.0,7.0,14.0
5107-0001,34.0,Yes,3.0,5.0,15.0
5107-0001,35.0,No,1.0,3.0,3.0
5107-0001,36.0,Yes,3.0,5.0,15.0
5107-0001,37.0,No,1.0,5.0,5.0
5107-0001,38.0,No,1.0,3.0,3.0
5107-0001,39.0,NA; not using any of the waivers,0.0,6.0,0.0
5107-0001,40.1,,,,
5107-0001,40.2,,,,
5107-0001,40.3,,,,
5107-0001,40.4,,,,
5107-0001,40.5,,,,
5107-0001,41.0,,,,
5107-0001,42.0,Yes,1.0,3.0,3.0
5107-0001,43.0,Yes,1.0,7.0,7.0
5107-0001,44.0,No,3.0,5.0,15.0
5107-0001,45.0,,,,
5107-0001,46.1,,,,
5107-0001,46.2,,,,
5107-0001,46.3,Yes,,,
5107-0001,46.4,,,,
5107-0001,46.5,,,,
5107-0001,47.0,,,,
5107-0001,48.0,Yes,1.0,7.0,7.0
5107-0001,49.0,,,,
5107-0001,50.0,No,1.0,5.0,5.0
5107-0001,51.0,,,,
5107-0001,52.0,Unsure,2.0,4.0,8.0
5107-0001,53.0,No,1.0,4.0,4.0
5107-0001,54.0,,,,
5107-0001,55.0,No,3.0,6.0,18.0
5107-0001,56.0,,,,
5107-0001,57.0,Yes; using existing system,1.0,7.0,7.0
5107-0001,58.0,Agree,1.0,7.0,7.0
5107-0001,59.0,No,1.0,4.0,4.0
5107-0001,60.1,,,,
5107-0001,60.2,,,,
5107-0001,60.3,,,,
5107-0001,60.4,,,,
5107-0001,60.5,,,,
5107-0001,60.6,,,,
5107-0001,60.7,,,,
5107-0001,60.8,Yes,,,
5107-0001,61.0,Yes,1.0,7.0,7.0
5107-0001,62.0,None so far,,,
5107-0001,63.0,No,3.0,7.0,21.0
5107-0001,64.0,No,1.0,7.0,7.0
5107-0001,65.0,,,,
