BPCI ID,Global Number,Topic Number,Topic,Text,Response
1106-0000,-1,0,General Information,BPID,1106-0000
1106-0000,0,1,General Information,Organization Legal Name,Geisinger Wyoming Valley Medical Center
1106-0000,1,1,General Information Requested,Does the Participant have current or past experience with CMS Innovation Center models and/or Medicare demonstrations beyond BPCI Advanced?,Yes
1106-0000,2,2,General Information Requested,Does the Participant have experience with value-based care beyond CMS Innovation Center models and/or Medicare demonstrations?,No
1106-0000,3,1,Organization Legal or Identification Changes,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",No
1106-0000,4,2,Organization Legal or Identification Changes,"If selected 'Yes' to question 1, have you reported these changes to CMS? [If your response to this question is 'no', please provide written notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Instruction and additional information are located under Article 3 of the Participation Agreement].",NA; we didn't have any changes
1106-0000,5,1,Participant Profile,Does the Participant anticipate making any additional changes to the list of Episode Initiators within the Participant Profile effective for Model Year 3?,No
1106-0000,6,2,Participant Profile,Is the Participant likely to add Clinical Episodes within the Participant Profile effective for Model Year 3?,Yes
1106-0000,7,3,Participant Profile,Is the Participant likely to remove Clinical Episodes from the Participant Profile effective for Model Year 3?,No
1106-0000,8,1,Care Redesign Plan,The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the Care Redesign Plan.,Strongly Agree
1106-0000,9,2,Care Redesign Plan,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,This participating ACH has eagerly adopted the following practice changes through  a strongly engaged Clinician group. 1. Utilizing the working DRG list to identify BPCIA patients during the anchor stay; 2. Utilizing a scoring tool to offer guidance in most effective first place destination;  3. Reviewing BPCIA discharge destination data to drive better performance 4. Dedicated case managers to follow beneficiaries without Geisnger-employed PCPs/case management. 5. Offering at-home services to complex COPD population.
1106-0000,10,3,Care Redesign Plan,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,No
1106-0000,11,4,Care Redesign Plan,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.",This ACH has eagerly adopted the new post-acute destination tool. They also outperform our other hospitals and we are studying the data to understand additional factors.
1106-0000,12,1,CEHRT Use,"The Participant and/or the Downstream Episode Initiator(s) is on track to implement Certified Electronic Health Record Technology (CEHRT) in a manner sufficient to meet the applicable requirements of the Advanced Alternative Payment Model criterion under 42 C.F.R. & 414.1415(a)(1)(i). To meet this criterion, at least 75 percent of eligible clinicians in each participating APM Entity group, or each hospital if hospitals are the APM Entities, to use CEHRT to document and communicate clinical care.",Yes
1106-0000,13,2,CEHRT Use,Has the Participant had challenges meeting the CEHRT use requirements?,No
1106-0000,14,3,CEHRT Use,Please use the comment box below to describe any challenges to meeting the CEHRT use requirements.,
1106-0000,15,1,Partner Agreements,"For Convener Participants: Has the Participant established agreements with all Downstream Episode Initiators (Acute Care Hospitals, PGPs)?",NA; we are a Non-Convener Participant
1106-0000,16,2,Partner Agreements,Has the Participant established agreements with all Participating Practitioners?,No
1106-0000,17,3,Partner Agreements,"Has the Participant established processes, procedures and/or controls to validate and support monitoring of these agreements between the Participant and relevant partnering entities/individuals?",No
1106-0000,18,4,Partner Agreements,Please use the comment box below to describe any challenges in implementing process and procedures to monitor agreements or in establishing agreements with partners.,We are not a convener participant and we have  not  yet used gain sharing agreements with other entities.
1106-0000,19,1,Financial / Programmatic Infrastructure,"Has the Participant set up an accounting system to be used, to measure and track Net Payment Reconciliation Amounts (NPRA) received from CMS, Repayment Amounts and Excess Spending Amounts owed to CMS and Administrative Services?",Yes
1106-0000,20,2,Financial / Programmatic Infrastructure,Is the Participant still participating in Financial Arrangements with one or more NPRA Sharing Partners?,NA; never participated in financial arrangements
1106-0000,21,3,Financial / Programmatic Infrastructure,Does the Participant plan to do so in the future?,Unsure
1106-0000,22,4,Financial / Programmatic Infrastructure,"Has the Participant implemented all BPCI Advanced required processes and procedures related to NPRA Sharing? For example: processes to verify Financial Arrangements comply with all applicable laws and regulations, processes to adhere to generally accepted accounting principles, compliance plan, and others outlined within the Participation Agreement.",NA; we don't participate in NPRA Sharing
1106-0000,23,5,Financial / Programmatic Infrastructure,"If selected 'No' to question 4, please describe any barriers/challenges in the comment box below.","Geisinger's compensation plan does not allow for sharing with individual Physicians or PGPs; During BPCI Classic program, the Geisinger system did engage in an EIP NPRA gain sharing program that was complex and time consuming with administrative costs. We also found that only about 1/3 of BPCI Classic beneficiaries chose a partnering EIP. Therefor we have chosen not to gain share with EIPS at this time."
1106-0000,24,6,Financial / Programmatic Infrastructure,"Has the Participant fully established NPRA Sharing Arrangements with all NPRA Sharing Partners? [If your response to this question is 'yes', please upload your organization's NPRA Sharing Arrangement template or a populated agreement as an example to the amendment section of the Participant Portal. If you have more than one NPRA Sharing Arrangement, upload 1 example only]",NA; we don't participate in NPRA Sharing
1106-0000,25,7,Financial / Programmatic Infrastructure,"If selected 'No' to question 6, please explain noting any barriers or challenges.",
1106-0000,26,8,Financial / Programmatic Infrastructure,Has the Participant established a BPCI Advanced Entity Agreement with a BPCI Advanced Entity?,NA; we don't have relationship with a BPCI Advanced Entity
1106-0000,27,9,Financial / Programmatic Infrastructure,Please describe key considerations that informed the Participant's decision (e.g. willingness to take on risk) regarding establishing Financial Arrangements.,We had limited success with an EIP gain sharing process with BPCI Classic program. We continue to explore how we might do so again if we can find a reliable solution to identifying patients early who qualify for the BPCIA program.
1106-0000,28,1,Internal Cost Savings (ICS),Does the Participant plan to track and allow contribution of ICS associated with BPCI Advanced to the BPCI Advanced Savings Pool(s) in the next 12 months?,No
1106-0000,29,2,Internal Cost Savings (ICS),"If selected 'Yes' to question 1, has the Participant established a process to measure and track Internal Cost Savings associated with BPCI Advanced?",---
1106-0000,30,1,Net Payment Reconciliation Report (NPRA),"Does the Participant plan to share NPRA associated with BPCI Advanced in the first performance period, if savings are achieved? [Performance Period 1: October 1, 2018 through June 30, 2019]",No
1106-0000,31,2,Net Payment Reconciliation Report (NPRA),Has the Participant implemented processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced?,NA; not requiring shared repayments by partners
1106-0000,32,3,Net Payment Reconciliation Report (NPRA),"If selected 'Yes' to question 2, please describe your processes and procedures to monitor Shared Repayment Amounts associated with BPCI Advanced.",
1106-0000,33,1,Compliance Plan,"Has the Participant completed an initial Compliance Plan? [If your response is 'yes', please upload this document to the amendment section of the Participant Portal If your Compliance Plan includes multiple appendices, you can upload the main document only.]",Yes
1106-0000,34,1,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Fraud and AbuseWaivers (Financial Arrangements and/or Beneficiary Incentives)?,Yes
1106-0000,35,2,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Fraud and Abuse Waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use Financial Arrangements and/or Beneficiary Incentives in our most recent Participant Profile, but we have started using the waiver(s) recently.)",No
1106-0000,36,4,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant or partners elected to use any of the Medicare Payment Policy (MPP) Waivers?,Yes
1106-0000,37,5,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If you selected 'Yes' to question 4, have you implemented the Payment Policy Waiver(s)?",No
1106-0000,38,6,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Has the Participant or partners made any changes to the Medicare Payment Policy waiver use selections since you last submitted the Participant Profile? (E.g., we have not selected to use any of the MPP waivers in our most recent Participant Profile, but we have started using the waiver(s) recently.)",No
1106-0000,39,8,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),Has the Participant established a process for monitoring compliance with waiver conditions?,No
1106-0000,40,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Attestation - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1106-0000,41,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Internal audit - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1106-0000,42,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have not elected to use any waivers - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Yes
1106-0000,43,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"N/A; we have elected to use waivers, but have not yet established a process for monitoring compliance with waiver conditions - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Not Selected/ Not Answered
1106-0000,44,9,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"Other - If selected 'Yes' to question 8, please select from the list below all of the strategies your organization has used for this purpose.",Yes
1106-0000,45,10,Waivers (Fraud & Abuse Waivers and Medicare Payment Policy Waivers),"If selected 'Other' to question 9, please list strategies in the comment box below.","Point of clarification: We opted for use of waivers at beginning of the program but have not used any to date; We have a participating ACO that uses the SNF waiver and found it too confusing to use both- Until we find a reliable means to identify the BPCIA beneficiary during the anchor stay, we will not be using the waivers. Additionally, our limited ability to reliable identify BPCIA beneficiaries during the anchor stay has caused our cautious approach."
1106-0000,46,1,Participation in Shared Learning Activities,"Has the Participant participated in the shared learning activities (e.g., webinars, emails, town hall meetings) identified by CMS?",Yes
1106-0000,47,1,Knowledge Management / Record Keeping / Succession Planning,Does the Participant have a process in place related to recordsmanagement associated with BPCI Advanced Model?,Yes
