BPCI ID,Global Number,Topic Number,Topic,Text,Response
2487-0001,-1,0,General Information,BPID,2487-0001
2487-0001,0,1,General Information,Organization Legal Name,Stryker
2487-0001,1,1,General Information Requested,Does the Participant have current or past experience with CMS Innovation Center models and/or Medicare demonstrations beyond BPCI Advanced?,Yes
2487-0001,2,2,General Information Requested,Does the Participant have experience with value-based care beyond CMS Innovation Center models and/or Medicare demonstrations?,Yes
2487-0001,3,1,Organization Legal or Identification Changes,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",No
2487-0001,4,2,Organization Legal or Identification Changes,"If selected 'Yes' to question 1, have you reported these changes to CMS? [If your response to this question is 'no', please provide written notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Instruction and additional information are located under Article 3 of the Participation Agreement].",NA; we didn't have any changes
2487-0001,5,1,Participant Profile,Does the Participant anticipate making any additional changes to the list of Episode Initiators within the Participant Profile effective for Model Year 3?,No
2487-0001,6,2,Participant Profile,Is the Participant likely to add Clinical Episodes within the Participant Profile effective for Model Year 3?,Unsure
2487-0001,7,3,Participant Profile,Is the Participant likely to remove Clinical Episodes from the Participant Profile effective for Model Year 3?,Unsure
2487-0001,8,1,Care Redesign Plan,The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the Care Redesign Plan.,Strongly Agree
2487-0001,9,2,Care Redesign Plan,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,"Since October 1, 2018, care redesign initiatives have focused on ensuring that patients receive the right care, for the right reason, and for the right period of time during their episode of care.  This has meant assessing preoperative risk to drive optimization prior to surgery as well as purposeful comprehensive patient care management during the post-acute phase.  Care redesign is largely complete but will be ongoing throughout the program."
2487-0001,10,3,Care Redesign Plan,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,No
2487-0001,11,4,Care Redesign Plan,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.",One of the biggest challenges with implementing care redesign is tracking progress and sharing information with pertinent parties.  Stryker has very successfully put in place systems to track progress in real time while utilizing retrospective claims data to drive actionable improvement.
2487-0001,12,1,CEHRT Use,"The Participant and/or the Downstream Episode Initiator(s) is on track to implement Certified Electronic Health Record Technology (CEHRT) in a manner sufficient to meet the applicable requirements of the Advanced Alternative Payment Model criterion under 42 C.F.R. & 414.1415(a)(1)(i). To meet this criterion, at least 75 percent of eligible clinicians in each participating APM Entity group, or each hospital if hospitals are the APM Entities, to use CEHRT to document and communicate clinical care.",Yes
2487-0001,13,2,CEHRT Use,Has the Participant had challenges meeting the CEHRT use requirements?,No
2487-0001,14,3,CEHRT Use,Please use the comment box below to describe any challenges to meeting the CEHRT use requirements.,NA
2487-0001,15,1,Partner Agreements,"For Convener Participants: Has the Participant established agreements with all Downstream Episode Initiators (Acute Care Hospitals, PGPs)?",Yes
2487-0001,16,2,Partner Agreements,Has the Participant established agreements with all Participating Practitioners?,Yes
2487-0001,17,3,Partner Agreements,"Has the Participant established processes, procedures and/or controls to validate and support monitoring of these agreements between the Participant and relevant partnering entities/individuals?",Yes
2487-0001,18,4,Partner Agreements,Please use the comment box below to describe any challenges in implementing process and procedures to monitor agreements or in establishing agreements with partners.,"One recent challenge with regard to executing agreements within Stryker's convener is executing non-financially based agreements with physicians and or non-physician practitioners.  There is very little reason from their perspective to spend their time reviewing, making potential changes to, and executing an agreement of this nature.  When an episode initiator is a hospital who has chosen not to gainshare financially downstream but is now required as of Q4 2019 to have non-financial participation agreements in place, it is very burdensome."
2487-0001,19,1,Financial / Programmatic Infrastructure,"Has the Participant set up an accounting system to be used, to measure and track Net Payment Reconciliation Amounts (NPRA) received from CMS, Repayment Amounts and Excess Spending Amounts owed to CMS and Administrative Services?",NA: System already in place before this model
2487-0001,20,2,Financial / Programmatic Infrastructure,Is the Participant still participating in Financial Arrangements with one or more NPRA Sharing Partners?,Yes
2487-0001,21,3,Financial / Programmatic Infrastructure,Does the Participant plan to do so in the future?,Yes
2487-0001,22,4,Financial / Programmatic Infrastructure,"Has the Participant implemented all BPCI Advanced required processes and procedures related to NPRA Sharing? For example: processes to verify Financial Arrangements comply with all applicable laws and regulations, processes to adhere to generally accepted accounting principles, compliance plan, and others outlined within the Participation Agreement.",Yes
2487-0001,23,5,Financial / Programmatic Infrastructure,"If selected 'No' to question 4, please describe any barriers/challenges in the comment box below.",
2487-0001,24,6,Financial / Programmatic Infrastructure,"Has the Participant fully established NPRA Sharing Arrangements with all NPRA Sharing Partners? [If your response to this question is 'yes', please upload your organization's NPRA Sharing Arrangement template or a populated agreement as an example to the amendment section of the Participant Portal. If you have more than one NPRA Sharing Arrangement, upload 1 example only]",Yes
2487-0001,25,7,Financial / Programmatic Infrastructure,"If selected 'No' to question 6, please explain noting any barriers or challenges.",
2487-0001,26,8,Financial / Programmatic Infrastructure,Has the Participant established a BPCI Advanced Entity Agreement with a BPCI Advanced Entity?,NA; we don't have relationship with a BPCI Advanced Entity
2487-0001,27,9,Financial / Programmatic Infrastructure,Please describe key considerations that informed the Participant's decision (e.g. willingness to take on risk) regarding establishing Financial Arrangements.,"As far as Stryker is concerned, financial arrangements and the ability to share savings is key to the success of bundled payment models.  It allows pertinent parties to align around shared vision and goals."
2487-0001,28,1,Internal Cost Savings (ICS),Does the Participant plan to track and allow contribution of ICS associated with BPCI Advanced to the BPCI Advanced Savings Pool(s) in the next 12 months?,No
2487-0001,29,2,Internal Cost Savings (ICS),"If selected 'Yes' to question 1, has the Participant established a process to measure and track Internal Cost Savings associated with BPCI Advanced?",NA; we don't participate in ICS Sharing
