BPCI ID,Global Number,Topic Number,Topic,Text,Response
3110-0000 ,-1,0,General Information,BPID,3110-0000
3110-0000 ,0,1,General Information,Organization Legal Name,"Hospitalist Medicine Physicians of Indiana - Terre Haute, LLC"
3110-0000 ,1,1,General Information Requested,Does the Participant have current or past experience with CMS Innovation Center models and/or Medicare demonstrations beyond BPCI Advanced?,Yes
3110-0000 ,2,2,General Information Requested,Does the Participant have experience with value-based care beyond CMS Innovation Center models and/or Medicare demonstrations?,Yes
3110-0000 ,3,1,Organization Legal or Identification Changes,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",No
3110-0000 ,4,2,Organization Legal or Identification Changes,"If selected 'Yes' to question 1, have you reported these changes to CMS? [If your response to this question is 'no', please provide written notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Instruction and additional information are located under Article 3 of the Participation Agreement].",NA; we didn't have any changes
3110-0000 ,5,1,Participant Profile,Does the Participant anticipate making any additional changes to the list of Episode Initiators within the Participant Profile effective for Model Year 3?,Yes
3110-0000 ,6,2,Participant Profile,Is the Participant likely to add Clinical Episodes within the Participant Profile effective for Model Year 3?,Unsure
3110-0000 ,7,3,Participant Profile,Is the Participant likely to remove Clinical Episodes from the Participant Profile effective for Model Year 3?,Unsure
3110-0000 ,8,1,Care Redesign Plan,The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the Care Redesign Plan.,Strongly Agree
3110-0000 ,9,2,Care Redesign Plan,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,"With much of our care redesign already in place prior to the launch of BPCIA, our high priorities were limited to the introduction of telehealth, patient level coordination with PCPs, and clinical and administrative staff engagement.  All three of these initiatives are launched within a portion of our at risk sites with plans for expansion. We feel well on our way to achieving these high priority goals as intended."
3110-0000 ,10,3,Care Redesign Plan,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,No
3110-0000 ,11,4,Care Redesign Plan,"Please use the comment box below to provide additional details regarding successes, challenges, and/or barriers to Care Redesign Interventions.",No challenges to report.  We have had increased success at implementing our care redesign interventions at new sites thanks to a streamlined new site implementation process that heavily focuses on the fundamentals of BPCIA.
