BPCI ID,Global Number,Topic Number,Topic,Text,Response
5397-0001,-1,0,General Information,BPID,5397-0001
5397-0001,0,1,General Information,Organization Legal Name,"University Hospitals Accountable Care Organization, Inc."
5397-0001,1,1,General Information Requested,Does the Participant have current or past experience with CMS Innovation Center models and/or Medicare demonstrations beyond BPCI Advanced?,Yes
5397-0001,2,2,General Information Requested,Does the Participant have experience with value-based care beyond CMS Innovation Center models and/or Medicare demonstrations?,Yes
5397-0001,3,1,Organization Legal or Identification Changes,"Has the Participant, or any of its Downstream Episode Initiators, NPRA Sharing Partners, or BPCI Advanced Entities, had a legal name change, change of control or change of tax identifier in the last year?",No
5397-0001,4,2,Organization Legal or Identification Changes,"If selected 'Yes' to question 1, have you reported these changes to CMS? [If your response to this question is 'no', please provide written notice of changes to CMS via email (BPCIAdvanced@cms.hhs.gov). Instruction and additional information are located under Article 3 of the Participation Agreement].",NA; we didn't have any changes
5397-0001,5,1,Participant Profile,Does the Participant anticipate making any additional changes to the list of Episode Initiators within the Participant Profile effective for Model Year 3?,No
5397-0001,6,2,Participant Profile,Is the Participant likely to add Clinical Episodes within the Participant Profile effective for Model Year 3?,Unsure
5397-0001,7,3,Participant Profile,Is the Participant likely to remove Clinical Episodes from the Participant Profile effective for Model Year 3?,Unsure
5397-0001,8,1,Care Redesign Plan,The Participant is on track to implement selected Care Redesign interventions within the timeframes indicated within the Care Redesign Plan.,Strongly Agree
5397-0001,9,2,Care Redesign Plan,Please provide 2-3 sentences below describing the progress of your high priority Care Redesign Interventions:,"At University Hospitals Health Systems (UH), we are dedicated to providing high quality care driven by evidence-based practices, patient engagement, coordination of care, and care transitions. The UH BPCIA team has engaged the High Reliability Medicine staff to collaborate with  Division Chiefs of 21 disease groups in order to standardize clinical pathway guidelines, EMR ordersets, delivery of care, patient education, and primary care physician education. In addition, hospital ancillary teams have been engaged in order to create standardized patient mobility scoring systems to assist in discharging patients to the appropriate next site of care and to begin early ambulation in hopes of minimizing deconditioning. Last, multiple oversight committees and project teams have been established to lead and monitor operations, quality and safety, as well as patient education."
5397-0001,10,3,Care Redesign Plan,Do you have concerns regarding implementation of any identified Care Redesign Interventions?,No
